ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;1;Virtual Edge;0;1;demo;15:24:32.7;15:24:35.285;349;92;35.51408171415952;1
2;1;Virtual Edge;0;2;demo;15:24:35.285;15:24:38.407;494;106;6.800735254367722;1
3;1;Virtual Edge;0;3;demo;15:24:38.407;15:24:42.346;662;104;8.73212459828649;1
4;1;Virtual Edge;0;4;demo;15:24:42.346;15:24:43.130;876;114;40.02811511925087;1
5;1;Virtual Edge;0;5;demo;15:24:43.130;15:24:43.782;1047;102;40.38873605350878;1
6;1;Virtual Edge;0;6;demo;15:24:43.782;15:24:44.359;1183;95;17.755280904564703;1
7;1;Virtual Edge;0;7;demo;15:24:44.359;15:24:45.225;1383;265;23.43608329051593;1
8;1;Virtual Edge;0;8;demo;15:24:45.225;15:24:45.673;1392;436;22.45551157288562;1
9;1;Virtual Edge;0;9;demo;15:24:45.673;15:24:46.153;1392;576;10.965856099730654;1
10;1;Virtual Edge;0;10;demo;15:24:46.153;15:24:46.736;1399;737;23.942639787625758;1
11;1;Virtual Edge;0;11;demo;15:24:46.736;15:24:47.376;1169;870;20.670026608594387;0
12;1;Virtual Edge;0;12;demo;15:24:47.376;15:24:50.819;1011;890;3.905124837953327;1
13;1;Virtual Edge;0;13;demo;15:24:50.819;15:24:51.396;815;892;21.47673159491453;1
14;1;Virtual Edge;0;14;demo;15:24:51.396;15:24:52.7;658;895;9.604686356149273;1
15;1;Virtual Edge;0;15;demo;15:24:52.7;15:24:52.568;468;893;24.62214450449026;1
16;1;Virtual Edge;0;16;demo;15:24:52.568;15:24:52.966;319;887;1.118033988749895;1
17;1;Virtual Edge;0;17;demo;15:24:52.966;15:24:53.638;103;747;14.534441853748634;1
18;1;Virtual Edge;0;18;demo;15:24:53.638;15:24:54.119;108;590;6.020797289396148;1
19;1;Virtual Edge;0;19;demo;15:24:54.119;15:24:54.577;116;422;8.73212459828649;1
20;1;Virtual Edge;0;20;demo;15:24:54.577;15:24:55.18;106;281;39.53795644693843;1
21;1;Virtual Edge;0;21;demo;15:24:55.18;15:24:59.910;731;504;19.4164878389476;1
22;1;Virtual Edge;1;1;1;15:25:6.903;15:25:7.897;350;107;30.5;1
23;1;Virtual Edge;1;2;1;15:25:7.897;15:25:8.692;354;892;34.29650127928503;1
24;1;Virtual Edge;1;3;1;15:25:8.692;15:25:9.423;514;93;29.3981291921782;1
25;1;Virtual Edge;1;4;1;15:25:9.423;15:25:10.193;517;893;25.59785147234041;1
26;1;Virtual Edge;1;5;1;15:25:10.193;15:25:11.188;755;496;6.4031242374328485;1
27;1;Virtual Edge;2;1;1;15:25:14.733;15:25:15.756;112;230;12.010412149464313;1
28;1;Virtual Edge;2;2;1;15:25:15.756;15:25:16.710;1403;259;23.005434140654682;1
29;1;Virtual Edge;2;3;1;15:25:16.710;15:25:17.602;117;409;6.726812023536855;1
30;1;Virtual Edge;2;4;1;15:25:17.602;15:25:18.474;1395;405;11.715374513859981;1
31;1;Virtual Edge;2;5;1;15:25:18.474;15:25:19.399;756;490;11.661903789690601;1
32;1;Virtual Edge;3;1;1;15:25:22.141;15:25:23.608;1367;753;21.10094784600919;0
33;1;Virtual Edge;3;2;1;15:25:23.608;15:25:25.885;105;752;9.604686356149273;1
34;1;Virtual Edge;3;3;1;15:25:25.885;15:25:26.778;1389;572;14.080127840328723;1
35;1;Virtual Edge;3;4;1;15:25:26.778;15:25:27.691;108;559;27.37243138634199;1
36;1;Virtual Edge;3;5;1;15:25:27.691;15:25:28.793;745;499;5.0990195135927845;1
