ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;9;Virtual Edge;0;1;demo;15:0:22.122;15:0:24.765;330;110;10.307764064044152;1
2;9;Virtual Edge;0;2;demo;15:0:24.765;15:0:25.719;493;124;11.543396380615196;1
3;9;Virtual Edge;0;3;demo;15:0:25.719;15:0:27.29;665;114;1.8027756377319946;1
4;9;Virtual Edge;0;4;demo;15:0:27.29;15:0:27.818;853;112;17.00735135169495;1
5;9;Virtual Edge;0;5;demo;15:0:27.818;15:0:28.519;994;113;14.0089257261219;1
6;9;Virtual Edge;0;6;demo;15:0:28.519;15:0:29.240;1184;100;13.124404748406688;1
7;9;Virtual Edge;0;7;demo;15:0:29.240;15:0:30.151;1373;237;15.337861650177967;0
8;9;Virtual Edge;0;8;demo;15:0:30.151;15:0:32.535;1396;406;11.672617529928752;1
9;9;Virtual Edge;0;9;demo;15:0:32.535;15:0:33.355;1396;595;12.379418403139947;1
10;9;Virtual Edge;0;10;demo;15:0:33.355;15:0:34.85;1390;757;2.692582403567252;1
11;9;Virtual Edge;0;11;demo;15:0:34.85;15:0:34.929;1175;889;5.220153254455275;1
12;9;Virtual Edge;0;12;demo;15:0:34.929;15:0:35.508;985;895;24.19194080680589;1
13;9;Virtual Edge;0;13;demo;15:0:35.508;15:0:36.190;819;889;17.066048165876012;1
14;9;Virtual Edge;0;14;demo;15:0:36.190;15:0:36.758;649;893;15.976545308670458;1
15;9;Virtual Edge;0;15;demo;15:0:36.758;15:0:37.488;479;885;13.238202294873727;1
16;9;Virtual Edge;0;16;demo;15:0:37.488;15:0:38.11;323;890;3.905124837953327;1
17;9;Virtual Edge;0;17;demo;15:0:38.11;15:0:38.651;114;738;20.05617112013158;1
18;9;Virtual Edge;0;18;demo;15:0:38.651;15:0:39.250;115;547;39.080046059338265;1
19;9;Virtual Edge;0;19;demo;15:0:39.250;15:0:39.769;117;397;17.585505395068974;1
20;9;Virtual Edge;0;20;demo;15:0:39.769;15:0:40.237;118;244;5.852349955359813;1
21;9;Virtual Edge;0;21;demo;15:0:40.237;15:0:41.445;748;509;9.219544457292887;1
22;9;Virtual Edge;1;1;1;15:0:44.609;15:0:45.832;109;241;3.640054944640259;1
23;9;Virtual Edge;1;2;1;15:0:45.832;15:0:46.563;109;432;18.33712082089225;1
24;9;Virtual Edge;1;3;1;15:0:46.563;15:0:47.142;113;575;11.01135777277262;1
25;9;Virtual Edge;1;4;1;15:0:47.142;15:0:47.661;108;745;13.756816492197604;1
26;9;Virtual Edge;1;5;1;15:0:47.661;15:0:48.577;750;484;16;1
27;9;Virtual Edge;2;1;1;15:0:51.180;15:0:52.422;328;104;11.672617529928752;1
28;9;Virtual Edge;2;2;1;15:0:52.422;15:0:53.467;328;888;8.0156097709407;1
29;9;Virtual Edge;2;3;1;15:0:53.467;15:0:54.382;517;104;26.405491853021786;1
30;9;Virtual Edge;2;4;1;15:0:54.382;15:0:55.358;493;894;6.576473218982953;1
31;9;Virtual Edge;2;5;1;15:0:55.358;15:0:56.270;754;483;17.46424919657298;1
32;9;Virtual Edge;3;1;1;15:0:58.667;15:0:59.949;1179;890;2.692582403567252;1
33;9;Virtual Edge;3;2;1;15:0:59.949;15:1:0.902;1168;119;13.647344063956181;1
34;9;Virtual Edge;3;3;1;15:1:0.902;15:1:1.860;994;883;14.705441169852742;1
35;9;Virtual Edge;3;4;1;15:1:1.860;15:1:2.796;1004;117;6.020797289396148;1
36;9;Virtual Edge;3;5;1;15:1:2.796;15:1:3.797;740;509;13.45362404707371;1
37;9;Virtual Edge;4;1;1;15:1:6.458;15:1:8.12;1396;760;8.73212459828649;1
38;9;Virtual Edge;4;2;1;15:1:8.12;15:1:9.34;108;764;7.5;1
39;9;Virtual Edge;4;3;1;15:1:9.34;15:1:10.38;1394;583;7.158910531638177;1
40;9;Virtual Edge;4;4;1;15:1:10.38;15:1:10.882;103;597;14.534441853748634;1
41;9;Virtual Edge;4;5;1;15:1:10.882;15:1:11.601;756;481;19.924858845171276;1
42;9;Virtual Edge;5;1;1;15:1:13.824;15:1:14.779;123;260;20.838665984174707;1
43;9;Virtual Edge;5;2;1;15:1:14.779;15:1:15.653;1394;727;31.67412192942371;1
44;9;Virtual Edge;5;3;1;15:1:15.653;15:1:17.255;100;757;12.539936203984453;1
45;9;Virtual Edge;5;4;1;15:1:17.255;15:1:18.301;1399;234;14.0089257261219;1
46;9;Virtual Edge;5;5;1;15:1:18.301;15:1:19.39;761;503;11.40175425099138;1
47;9;Virtual Edge;6;1;1;15:1:21.281;15:1:22.365;506;119;15.435349040433131;1
48;9;Virtual Edge;6;2;1;15:1:22.365;15:1:23.269;676;110;12.257650672131263;1
49;9;Virtual Edge;6;3;1;15:1:23.269;15:1:23.958;851;104;17.240939649566666;1
50;9;Virtual Edge;6;4;1;15:1:23.958;15:1:24.670;1014;113;6.020797289396148;1
51;9;Virtual Edge;6;5;1;15:1:24.670;15:1:25.439;755;499;5.0990195135927845;1
52;9;Virtual Edge;7;1;1;15:1:27.701;15:1:28.774;484;877;13.200378782444085;1
53;9;Virtual Edge;7;2;1;15:1:28.774;15:1:29.752;674;884;10.594810050208546;1
54;9;Virtual Edge;7;3;1;15:1:29.752;15:1:30.401;843;888;7.0178344238090995;1
55;9;Virtual Edge;7;4;1;15:1:30.401;15:1:31.1;1011;888;3.0413812651491097;1
56;9;Virtual Edge;7;5;1;15:1:31.1;15:1:31.770;738;476;26.832815729997478;1
57;9;Virtual Edge;8;1;1;15:1:34.286;15:1:35.411;108;249;8.32165848854662;1
58;9;Virtual Edge;8;2;1;15:1:35.411;15:1:36.423;1397;232;13.793114224133722;1
59;9;Virtual Edge;8;3;1;15:1:36.423;15:1:37.255;109;428;14.430869689661812;1
60;9;Virtual Edge;8;4;1;15:1:37.255;15:1:38.53;1395;425;13.313526955694348;1
61;9;Virtual Edge;8;5;1;15:1:38.53;15:1:38.807;744;494;8.48528137423857;1
62;9;Virtual Edge;9;1;1;15:1:41.140;15:1:42.215;1398;226;19.13765920900464;1
63;9;Virtual Edge;9;2;1;15:1:42.215;15:1:43.44;1406;435;27.98660393831306;1
64;9;Virtual Edge;9;3;1;15:1:43.44;15:1:43.716;1389;586;1.5;1
65;9;Virtual Edge;9;4;1;15:1:43.716;15:1:44.323;1396;751;11.01135777277262;1
66;9;Virtual Edge;9;5;1;15:1:44.323;15:1:45.95;758;474;27.202941017470888;1
67;9;Virtual Edge;10;1;1;15:1:47.398;15:1:48.581;330;106;11.926860441876563;1
68;9;Virtual Edge;10;2;1;15:1:48.581;15:1:49.853;1173;887;7.0178344238090995;1
69;9;Virtual Edge;10;3;1;15:1:49.853;15:1:50.961;1175;111;5.220153254455275;1
70;9;Virtual Edge;10;4;1;15:1:50.961;15:1:51.881;331;889;11.10180165558726;1
71;9;Virtual Edge;10;5;1;15:1:51.881;15:1:52.610;750;498;2;1
72;9;Virtual Edge;11;1;2;15:1:54.993;15:1:56.78;116;242;3.5;1
73;9;Virtual Edge;11;2;2;15:1:56.78;15:1:56.955;110;429;15.20690632574555;1
74;9;Virtual Edge;11;3;2;15:1:56.955;15:1:57.643;123;581;11.629703349613008;1
