ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;2;Regular Edge;0;1;demo;15:37:17.585;15:37:19.760;286;115;34.09178786746157;1
2;2;Regular Edge;0;2;demo;15:37:19.760;15:37:20.755;458;114;34.03307215048327;1
3;2;Regular Edge;0;3;demo;15:37:20.755;15:37:21.492;652;105;14.150971698084906;1
4;2;Regular Edge;0;4;demo;15:37:21.492;15:37:22.75;824;116;12.5;1
5;2;Regular Edge;0;5;demo;15:37:22.75;15:37:22.544;983;121;26.405491853021786;1
6;2;Regular Edge;0;6;demo;15:37:22.544;15:37:23.34;1154;113;26.004807247891687;1
7;2;Regular Edge;0;7;demo;15:37:23.34;15:37:24.208;1386;251;9.12414379544733;1
8;2;Regular Edge;0;8;demo;15:37:24.208;15:37:24.710;1380;423;11.715374513859981;1
9;2;Regular Edge;0;9;demo;15:37:24.710;15:37:25.158;1385;589;3.905124837953327;1
10;2;Regular Edge;0;10;demo;15:37:25.158;15:37:25.630;1392;742;16.62077013859466;1
11;2;Regular Edge;0;11;demo;15:37:25.630;15:37:26.519;1189;893;10.547511554864494;1
12;2;Regular Edge;0;12;demo;15:37:26.519;15:37:26.930;1025;895;18.580904176062045;1
13;2;Regular Edge;0;13;demo;15:37:26.930;15:37:27.379;835;893;5.5901699437494745;1
14;2;Regular Edge;0;14;demo;15:37:27.379;15:37:27.850;663;884;3.640054944640259;1
15;2;Regular Edge;0;15;demo;15:37:27.850;15:37:28.260;488;893;6.800735254367722;1
16;2;Regular Edge;0;16;demo;15:37:28.260;15:37:28.716;342;883;22.45551157288562;1
17;2;Regular Edge;0;17;demo;15:37:28.716;15:37:29.289;129;770;20.402205763103165;0
18;2;Regular Edge;0;18;demo;15:37:29.289;15:37:29.700;117;585;4.6097722286464435;1
19;2;Regular Edge;0;19;demo;15:37:29.700;15:37:31.542;115;390;24.12985702402731;1
20;2;Regular Edge;0;20;demo;15:37:31.542;15:37:32.333;114;245;3.3541019662496847;1
21;2;Regular Edge;0;21;demo;15:37:32.333;15:37:33.918;749;500;1;1
22;2;Regular Edge;1;1;1;15:37:36.894;15:37:38.348;1171;891;9.656603957913983;1
23;2;Regular Edge;1;2;1;15:37:38.348;15:37:39.709;1189;114;9.12414379544733;1
24;2;Regular Edge;1;3;1;15:37:39.709;15:37:40.843;1024;885;16.194134740701646;1
25;2;Regular Edge;1;4;1;15:37:40.843;15:37:41.989;1001;104;11.01135777277262;1
26;2;Regular Edge;1;5;1;15:37:41.989;15:37:43.271;758;503;8.54400374531753;1
27;2;Regular Edge;2;1;1;15:37:46.417;15:37:47.779;1386;764;6.18465843842649;1
28;2;Regular Edge;2;2;1;15:37:47.779;15:37:49.44;111;740;18.062391868188442;1
29;2;Regular Edge;2;3;1;15:37:49.44;15:37:50.122;1395;594;10.965856099730654;1
30;2;Regular Edge;2;4;1;15:37:50.122;15:37:51.23;105;565;22.299103120977758;1
31;2;Regular Edge;2;5;1;15:37:51.23;15:37:52.316;742;504;8.94427190999916;1
32;2;Regular Edge;3;1;1;15:37:54.851;15:37:56.236;293;104;28.30635970943632;1
33;2;Regular Edge;3;2;1;15:37:56.236;15:37:57.327;1173;895;10.259142264341596;1
34;2;Regular Edge;3;3;1;15:37:57.327;15:37:58.431;1197;110;17.18284027743958;1
35;2;Regular Edge;3;4;1;15:37:58.431;15:37:59.476;294;888;26.004807247891687;1
36;2;Regular Edge;3;5;1;15:37:59.476;15:38:0.522;756;508;10;1
37;2;Regular Edge;4;1;1;15:38:2.734;15:38:3.998;475;94;25.124689052802225;0
38;2;Regular Edge;4;2;1;15:38:3.998;15:38:7.523;616;117;48.21047603996459;1
39;2;Regular Edge;4;3;1;15:38:7.523;15:38:8.966;797;115;39.080046059338265;1
40;2;Regular Edge;4;4;1;15:38:8.966;15:38:10.298;1025;115;17.18284027743958;1
41;2;Regular Edge;4;5;1;15:38:10.298;15:38:11.62;760;505;11.180339887498949;1
42;2;Regular Edge;5;1;1;15:38:13.535;15:38:14.690;127;261;23.90083680543424;0
43;2;Regular Edge;5;2;1;15:38:14.690;15:38:17.272;117;418;6.020797289396148;1
44;2;Regular Edge;5;3;1;15:38:17.272;15:38:18.405;116;576;10.594810050208546;1
45;2;Regular Edge;5;4;1;15:38:18.405;15:38:19.420;113;737;21.005951537600005;1
46;2;Regular Edge;5;5;1;15:38:19.420;15:38:20.342;761;503;11.40175425099138;1
47;2;Regular Edge;6;1;1;15:38:22.410;15:38:23.433;1382;252;11.412712210513327;1
48;2;Regular Edge;6;2;1;15:38:23.433;15:38:24.264;1391;410;5.315072906367325;1
49;2;Regular Edge;6;3;1;15:38:24.264;15:38:24.866;1383;569;17.585505395068974;1
50;2;Regular Edge;6;4;1;15:38:24.866;15:38:25.731;1388;748;10.012492197250394;1
51;2;Regular Edge;6;5;1;15:38:25.731;15:38:26.542;736;469;34.0147027033899;1
52;2;Regular Edge;7;1;1;15:38:28.827;15:38:30.109;298;105;23.243278598338918;1
53;2;Regular Edge;7;2;1;15:38:30.109;15:38:31.134;291;885;29.107559155655768;1
54;2;Regular Edge;7;3;1;15:38:31.134;15:38:32.420;534;126;44.11632350955823;0
55;2;Regular Edge;7;4;1;15:38:32.420;15:38:33.423;470;896;23.58495283014151;1
56;2;Regular Edge;7;5;1;15:38:33.423;15:38:34.335;765;496;15.524174696260024;1
57;2;Regular Edge;8;1;1;15:38:36.749;15:38:37.683;116;264;22.276669409945463;1
58;2;Regular Edge;8;2;1;15:38:37.683;15:38:39.200;1384;742;16.3783393541592;1
59;2;Regular Edge;8;3;1;15:38:39.200;15:38:40.272;107;745;14.115594213493104;1
60;2;Regular Edge;8;4;1;15:38:40.272;15:38:41.567;1397;267;26.744158240632665;1
61;2;Regular Edge;8;5;1;15:38:41.567;15:38:42.451;729;510;23.259406699226016;1
62;2;Regular Edge;9;1;1;15:38:44.995;15:38:46.118;114;264;22.051077071199945;1
63;2;Regular Edge;9;2;1;15:38:46.118;15:38:46.965;1390;285;43.072613108563544;1
64;2;Regular Edge;9;3;1;15:38:46.965;15:38:47.885;120;438;25.144581921360317;1
65;2;Regular Edge;9;4;1;15:38:47.885;15:38:48.587;1380;423;11.715374513859981;1
66;2;Regular Edge;9;5;1;15:38:48.587;15:38:49.549;752;518;18.110770276274835;1
67;2;Regular Edge;10;1;1;15:38:52.32;15:38:53.198;519;884;27.225906780123964;1
68;2;Regular Edge;10;2;1;15:38:53.198;15:38:54.231;705;887;41.00304866714181;1
69;2;Regular Edge;10;3;1;15:38:54.231;15:38:54.864;846;890;10.307764064044152;1
70;2;Regular Edge;10;4;1;15:38:54.864;15:38:55.545;1015;886;7.158910531638177;1
71;2;Regular Edge;10;5;1;15:38:55.545;15:38:56.306;755;509;10.295630140987;1
72;2;Regular Edge;11;1;2;15:38:58.268;15:38:59.573;1160;887;20.006249023742555;1
73;2;Regular Edge;11;2;2;15:38:59.573;15:39:0.638;1221;126;43.165379646193315;0
74;2;Regular Edge;11;3;2;15:39:0.638;15:39:1.819;985;897;24.88473427625861;1
75;2;Regular Edge;11;4;2;15:39:1.819;15:39:2.847;1007;111;1.8027756377319946;1
76;2;Regular Edge;11;5;2;15:39:2.847;15:39:3.505;762;475;27.730849247724095;1
77;2;Regular Edge;12;1;2;15:39:5.978;15:39:7.722;1381;762;7.632168761236874;1
78;2;Regular Edge;12;2;2;15:39:7.722;15:39:8.725;116;732;26.23451924468981;1
79;2;Regular Edge;12;3;2;15:39:8.725;15:39:9.616;1392;558;28.359301824974466;1
80;2;Regular Edge;12;4;2;15:39:9.616;15:39:10.370;119;585;6.576473218982953;1
81;2;Regular Edge;12;5;2;15:39:10.370;15:39:11.243;754;481;19.4164878389476;1
82;2;Regular Edge;13;1;2;15:39:13.307;15:39:14.499;272;106;48.43810483493342;1
83;2;Regular Edge;13;2;2;15:39:14.499;15:39:15.400;1190;894;11.926860441876563;1
84;2;Regular Edge;13;3;2;15:39:15.400;15:39:16.394;1196;116;16.3783393541592;1
85;2;Regular Edge;13;4;2;15:39:16.394;15:39:17.397;320;881;6.5;1
86;2;Regular Edge;13;5;2;15:39:17.397;15:39:18.230;751;499;1.4142135623730951;1
87;2;Regular Edge;14;1;2;15:39:21.105;15:39:22.310;464;102;29.90401310861136;1
88;2;Regular Edge;14;2;2;15:39:22.310;15:39:23.302;622;109;42.14558102577303;1
89;2;Regular Edge;14;3;2;15:39:23.302;15:39:23.941;793;104;43.83206588788623;1
90;2;Regular Edge;14;4;2;15:39:23.941;15:39:24.600;968;108;40.252329125157466;1
91;2;Regular Edge;14;5;2;15:39:24.600;15:39:25.321;752;506;6.324555320336759;1
92;2;Regular Edge;15;1;2;15:39:27.316;15:39:28.308;116;253;11.543396380615196;1
93;2;Regular Edge;15;2;2;15:39:28.308;15:39:28.928;113;413;1.118033988749895;1
94;2;Regular Edge;15;3;2;15:39:28.928;15:39:29.448;110;599;13.238202294873727;1
95;2;Regular Edge;15;4;2;15:39:29.448;15:39:29.938;106;727;31.67412192942371;1
96;2;Regular Edge;15;5;2;15:39:29.938;15:39:30.725;770;486;24.413111231467404;1
97;2;Regular Edge;16;1;2;15:39:32.677;15:39:33.471;1371;236;17.55704986607944;0
