ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;5;Virtual Edge;0;1;demo;14:14:20.131;14:14:21.26;365;122;46.09772228646444;1
2;5;Virtual Edge;0;2;demo;14:14:21.26;14:14:21.534;543;117;51.24451190127583;1
3;5;Virtual Edge;0;3;demo;14:14:21.534;14:14:21.927;702;111;38.01315561749642;1
4;5;Virtual Edge;0;4;demo;14:14:21.927;14:14:22.375;865;110;29.068883707497267;1
5;5;Virtual Edge;0;5;demo;14:14:22.375;14:14:22.795;1026;118;18.973665961010276;1
6;5;Virtual Edge;0;6;demo;14:14:22.795;14:14:23.225;1210;111;30.01666203960727;1
7;5;Virtual Edge;0;7;demo;14:14:23.225;14:14:23.716;1386;280;38.52920969861697;1
8;5;Virtual Edge;0;8;demo;14:14:23.716;14:14:24.175;1386;476;62.517997408746226;1
9;5;Virtual Edge;0;9;demo;14:14:24.175;14:14:24.518;1389;609;23.547823678633232;1
10;5;Virtual Edge;0;10;demo;14:14:24.518;14:14:24.926;1390;796;38.58108344772085;1
11;5;Virtual Edge;0;11;demo;14:14:24.926;14:14:25.364;1166;889;14.142135623730951;1
12;5;Virtual Edge;0;12;demo;14:14:25.364;14:14:25.777;996;898;16.278820596099706;1
13;5;Virtual Edge;0;13;demo;14:14:25.777;14:14:26.214;818;894;19.313207915827967;1
14;5;Virtual Edge;0;14;demo;14:14:26.214;14:14:26.606;660;890;5;1
15;5;Virtual Edge;0;15;demo;14:14:26.606;14:14:26.979;504;898;16.278820596099706;1
16;5;Virtual Edge;0;16;demo;14:14:26.979;14:14:27.326;355;891;35.22782990761707;1
17;5;Virtual Edge;0;17;demo;14:14:27.326;14:14:27.857;119;771;14.983324063771697;1
18;5;Virtual Edge;0;18;demo;14:14:27.857;14:14:28.166;117;581;6.363961030678928;1
19;5;Virtual Edge;0;19;demo;14:14:28.166;14:14:28.484;123;407;12.349089035228468;1
20;5;Virtual Edge;0;20;demo;14:14:28.484;14:14:28.777;120;256;16.32482771731451;1
21;5;Virtual Edge;0;21;demo;14:14:28.777;14:14:29.828;756;499;6.020797289396148;1
22;5;Virtual Edge;1;1;1;14:14:32.101;14:14:32.887;341;114;21.095023109728988;1
23;5;Virtual Edge;1;2;1;14:14:32.887;14:14:33.852;1159;881;21.840329667841555;1
24;5;Virtual Edge;1;3;1;14:14:33.852;14:14:34.421;1168;95;20.808652046684813;1
25;5;Virtual Edge;1;4;1;14:14:34.421;14:14:35.58;336;885;16.1245154965971;1
26;5;Virtual Edge;1;5;1;14:14:35.58;14:14:35.611;769;494;19.78004044485248;1
27;5;Virtual Edge;2;1;1;14:14:37.544;14:14:38.341;516;118;24.73863375370596;1
28;5;Virtual Edge;2;2;1;14:14:38.341;14:14:39.133;719;110;55.036351623268054;1
29;5;Virtual Edge;2;3;1;14:14:39.133;14:14:39.571;892;116;56.142675390472796;1
30;5;Virtual Edge;2;4;1;14:14:39.571;14:14:39.950;1023;114;15.132745950421556;1
31;5;Virtual Edge;2;5;1;14:14:39.950;14:14:40.481;772;493;22.940139493908923;1
32;5;Virtual Edge;3;1;1;14:14:42.399;14:14:43.129;539;891;47.16990566028302;1
33;5;Virtual Edge;3;2;1;14:14:43.129;14:14:43.516;714;892;50.24937810560445;1
34;5;Virtual Edge;3;3;1;14:14:43.516;14:14:43.827;858;897;24.166091947189145;1
35;5;Virtual Edge;3;4;1;14:14:43.827;14:14:44.148;1014;893;8.48528137423857;1
36;5;Virtual Edge;3;5;1;14:14:44.148;14:14:44.706;740;504;10.965856099730654;1
37;5;Virtual Edge;4;1;1;14:14:46.813;14:14:47.703;1384;296;54.61226968365259;1
38;5;Virtual Edge;4;2;1;14:14:47.703;14:14:48.96;1383;479;65.65439817712138;1
39;5;Virtual Edge;4;3;1;14:14:48.96;14:14:48.473;1392;615;29.841246622753548;1
40;5;Virtual Edge;4;4;1;14:14:48.473;14:14:48.884;1385;755;3.5355339059327378;1
41;5;Virtual Edge;4;5;1;14:14:48.884;14:14:49.433;737;506;14.534441853748634;1
42;5;Virtual Edge;5;1;1;14:14:51.456;14:14:53.60;1158;881;22.80350850198276;1
43;5;Virtual Edge;5;2;1;14:14:53.60;14:14:53.926;1169;105;13.038404810405298;1
44;5;Virtual Edge;5;3;1;14:14:53.926;14:14:54.615;1001;893;9.219544457292887;1
45;5;Virtual Edge;5;4;1;14:14:54.615;14:14:55.264;1007;114;2.23606797749979;1
46;5;Virtual Edge;5;5;1;14:14:55.264;14:14:55.824;774;493;24.86463351831271;1
47;5;Virtual Edge;6;1;1;14:14:57.881;14:14:58.803;126;282;42.69074841227312;0
48;5;Virtual Edge;6;2;1;14:14:58.803;14:14:59.657;1390;289;47.56574397610112;1
49;5;Virtual Edge;6;3;1;14:14:59.657;14:15:0.468;126;455;43.64057744805859;0
50;5;Virtual Edge;6;4;1;14:15:0.468;14:15:1.379;1402;467;55.43013620766234;1
51;5;Virtual Edge;6;5;1;14:15:1.379;14:15:1.964;723;543;51.198144497628036;1
52;5;Virtual Edge;7;1;1;14:15:3.908;14:15:4.868;1389;742;15.572411502397436;1
53;5;Virtual Edge;7;2;1;14:15:4.868;14:15:6.342;114;780;22.54994456755936;1
54;5;Virtual Edge;7;3;1;14:15:6.342;14:15:7.205;1384;604;18.828170383762732;1
55;5;Virtual Edge;7;4;1;14:15:7.205;14:15:7.925;122;621;36.74914965002592;1
56;5;Virtual Edge;7;5;1;14:15:7.925;14:15:8.525;778;508;29.261749776799064;1
57;5;Virtual Edge;8;1;1;14:15:10.958;14:15:11.720;118;279;37.90118731649445;1
58;5;Virtual Edge;8;2;1;14:15:11.720;14:15:12.473;99;458;46.502688094345686;1
59;5;Virtual Edge;8;3;1;14:15:12.473;14:15:12.903;113;635;49.502525188115406;1
60;5;Virtual Edge;8;4;1;14:15:12.903;14:15:13.204;117;761;5.70087712549569;1
61;5;Virtual Edge;8;5;1;14:15:13.204;14:15:13.733;757;500;7.0178344238090995;1
62;5;Virtual Edge;9;1;1;14:15:15.617;14:15:16.530;109;269;27.721832551258224;1
63;5;Virtual Edge;9;2;1;14:15:16.530;14:15:17.337;1379;768;13.509256086106296;1
64;5;Virtual Edge;9;3;1;14:15:17.337;14:15:18.74;106;798;41.018288603987365;1
