ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;7;Virtual Edge;0;1;demo;10:39:23.336;10:39:24.222;345;114;25.04495957273639;1
2;7;Virtual Edge;0;2;demo;10:39:24.222;10:39:25.115;520;117;28.359301824974466;1
3;7;Virtual Edge;0;3;demo;10:39:25.115;10:39:25.743;692;107;28.53506614676055;1
4;7;Virtual Edge;0;4;demo;10:39:25.743;10:39:26.244;866;115;30.103986446980738;1
5;7;Virtual Edge;0;5;demo;10:39:26.244;10:39:26.675;1014;123;12.093386622447824;1
6;7;Virtual Edge;0;6;demo;10:39:26.675;10:39:27.144;1191;128;19.00657780874821;0
7;7;Virtual Edge;0;7;demo;10:39:27.144;10:39:29.578;1380;260;19.5;1
8;7;Virtual Edge;0;8;demo;10:39:29.578;10:39:30.77;1394;444;30.696090956341656;1
9;7;Virtual Edge;0;9;demo;10:39:30.77;10:39:30.551;1394;610;24.86463351831271;1
10;7;Virtual Edge;0;10;demo;10:39:30.551;10:39:31.19;1378;777;21.242645786248;1
11;7;Virtual Edge;0;11;demo;10:39:31.19;10:39:31.499;1162;906;25.811818998280614;1
12;7;Virtual Edge;0;12;demo;10:39:31.499;10:39:31.920;1011;887;3.0413812651491097;1
13;7;Virtual Edge;0;13;demo;10:39:31.920;10:39:33.37;825;896;13.901438774457844;1
14;7;Virtual Edge;0;14;demo;10:39:33.37;10:39:33.530;675;895;13.313526955694348;1
15;7;Virtual Edge;0;15;demo;10:39:33.530;10:39:33.957;513;906;27.98660393831306;1
16;7;Virtual Edge;0;16;demo;10:39:33.957;10:39:34.378;350;893;30.5;1
17;7;Virtual Edge;0;17;demo;10:39:34.378;10:39:34.947;130;792;38.23937760999779;0
18;7;Virtual Edge;0;18;demo;10:39:34.947;10:39:35.338;131;587;18.527007313648905;0
19;7;Virtual Edge;0;19;demo;10:39:35.338;10:39:35.796;132;410;19.90602923739438;0
20;7;Virtual Edge;0;20;demo;10:39:35.796;10:39:36.196;120;237;9.013878188659973;1
21;7;Virtual Edge;0;21;demo;10:39:36.196;10:39:37.30;744;499;6.082762530298219;1
22;7;Virtual Edge;1;1;1;10:39:39.213;10:39:39.990;515;111;23.04886114323222;1
23;7;Virtual Edge;1;2;1;10:39:39.990;10:39:40.456;688;116;24.253865671269807;1
24;7;Virtual Edge;1;3;1;10:39:40.456;10:39:40.857;870;103;35.302266216207705;1
25;7;Virtual Edge;1;4;1;10:39:40.857;10:39:41.249;1014;116;6.946221994724902;1
26;7;Virtual Edge;1;5;1;10:39:41.249;10:39:41.857;757;469;31.78049716414141;1
27;7;Virtual Edge;2;1;1;10:39:43.962;10:39:44.866;120;241;7.566372975210778;1
28;7;Virtual Edge;2;2;1;10:39:44.866;10:39:45.318;131;424;21.02974084481309;0
29;7;Virtual Edge;2;3;1;10:39:45.318;10:39:45.738;126;586;13.5;0
30;7;Virtual Edge;2;4;1;10:39:45.738;10:39:46.580;111;780;22.051077071199945;1
31;7;Virtual Edge;2;5;1;10:39:46.580;10:39:47.393;754;505;6.4031242374328485;1
32;7;Virtual Edge;3;1;1;10:39:49.568;10:39:50.383;1392;260;18.553975315279473;1
33;7;Virtual Edge;3;2;1;10:39:50.383;10:39:50.844;1404;459;47.92963592601137;1
34;7;Virtual Edge;3;3;1;10:39:50.844;10:39:51.345;1389;612;26.043233286210835;1
35;7;Virtual Edge;3;4;1;10:39:51.345;10:39:51.862;1392;774;16.62077013859466;1
36;7;Virtual Edge;3;5;1;10:39:51.862;10:39:52.471;785;498;35.05709628591621;1
37;7;Virtual Edge;4;1;1;10:39:54.526;10:39:55.982;1166;880;15.88238017426859;1
38;7;Virtual Edge;4;2;1;10:39:55.982;10:39:56.775;1190;133;22.808989455914087;0
39;7;Virtual Edge;4;3;1;10:39:56.775;10:39:57.555;1010;890;3.2015621187164243;1
40;7;Virtual Edge;4;4;1;10:39:57.555;10:39:58.106;1020;123;15.945218719101975;1
41;7;Virtual Edge;4;5;1;10:39:58.106;10:39:58.826;773;497;23.194827009486403;1
42;7;Virtual Edge;5;1;1;10:40:0.971;10:40:1.986;1390;741;17.18284027743958;1
43;7;Virtual Edge;5;2;1;10:40:1.986;10:40:2.897;98;767;17.066048165876012;1
44;7;Virtual Edge;5;3;1;10:40:2.897;10:40:3.652;1402;585;14.534441853748634;1
45;7;Virtual Edge;5;4;1;10:40:3.652;10:40:4.492;104;576;13.124404748406688;1
46;7;Virtual Edge;5;5;1;10:40:4.492;10:40:5.477;755;505;7.0710678118654755;1
47;7;Virtual Edge;6;1;1;10:40:7.698;10:40:8.772;350;105;30.923292192132454;1
48;7;Virtual Edge;6;2;1;10:40:8.772;10:40:9.749;1173;902;16.101242188104617;1
49;7;Virtual Edge;6;3;1;10:40:9.749;10:40:10.539;1177;111;3.3541019662496847;1
50;7;Virtual Edge;6;4;1;10:40:10.539;10:40:11.402;359;894;39.53795644693843;1
51;7;Virtual Edge;6;5;1;10:40:11.402;10:40:12.228;755;501;5.0990195135927845;1
52;7;Virtual Edge;7;1;1;10:40:14.511;10:40:15.607;125;228;18.76832437912346;1
53;7;Virtual Edge;7;2;1;10:40:15.607;10:40:16.673;1386;749;9.12414379544733;1
54;7;Virtual Edge;7;3;1;10:40:16.673;10:40:17.535;133;756;20.59732992404598;0
