ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;1;Virtual Edge;0;1;demo;17:53:6.726;17:53:7.566;329;120;11.71537451;1
2;1;Virtual Edge;0;2;demo;17:53:7.566;17:53:8.55;497;121;9.861541462;1
3;1;Virtual Edge;0;3;demo;17:53:8.55;17:53:8.508;693;112;29.00431002;1
4;1;Virtual Edge;0;4;demo;17:53:8.508;17:53:8.908;850;116;14.43086969;1
5;1;Virtual Edge;0;5;demo;17:53:8.908;17:53:9.305;1015;126;15.20690633;0
6;1;Virtual Edge;0;6;demo;17:53:9.305;17:53:9.707;1176;115;4.716990566;1
7;1;Virtual Edge;0;7;demo;17:53:9.707;17:53:10.205;1384;244;4.031128874;1
8;1;Virtual Edge;0;8;demo;17:53:10.205;17:53:10.636;1412;405;26.10076627;1
9;1;Virtual Edge;0;9;demo;17:53:10.636;17:53:11.100;1396;562;25.46075411;1
10;1;Virtual Edge;0;10;demo;17:53:11.100;17:53:14.247;1389;762;4.272001873;1
11;1;Virtual Edge;0;11;demo;17:53:14.247;17:53:14.829;1226;894;46.45696934;1
12;1;Virtual Edge;0;12;demo;17:53:14.829;17:53:15.286;1003;891;6.103277808;1
13;1;Virtual Edge;0;13;demo;17:53:15.286;17:53:15.696;841;892;6.726812024;1
14;1;Virtual Edge;0;14;demo;17:53:15.696;17:53:16.106;680;885;16.19413474;1
15;1;Virtual Edge;0;15;demo;17:53:16.106;17:53:16.466;510;882;18.82153022;1
16;1;Virtual Edge;0;16;demo;17:53:16.466;17:53:16.820;349;883;29.34706118;1
17;1;Virtual Edge;0;17;demo;17:53:16.820;17:53:17.327;119;772;15.43534904;1
18;1;Virtual Edge;0;18;demo;17:53:17.327;17:53:17.687;128;594;17.44276354;0
19;1;Virtual Edge;0;19;demo;17:53:17.687;17:53:18.27;119;432;19.13765921;1
20;1;Virtual Edge;0;20;demo;17:53:18.27;17:53:18.506;119;261;20.08108563;1
21;1;Virtual Edge;0;21;demo;17:53:18.506;17:53:19.186;771;525;32.64965543;1
22;1;Virtual Edge;1;1;1;17:53:21.284;17:53:22.13;325;114;5.220153254;1
23;1;Virtual Edge;1;2;1;17:53:22.13;17:53:22.814;350;902;33.32041416;1
24;1;Virtual Edge;1;3;1;17:53:22.814;17:53:23.373;513;122;23.04886114;1
25;1;Virtual Edge;1;4;1;17:53:23.373;17:53:24.24;503;885;11.28051417;1
26;1;Virtual Edge;1;5;1;17:53:24.24;17:53:24.613;770;502;20.09975124;1
27;1;Virtual Edge;2;1;1;17:53:26.771;17:53:27.491;138;247;25.98557292;0
28;1;Virtual Edge;2;2;1;17:53:27.491;17:53:28.315;1377;263;23.47871376;1
