ID;Part;Cond;Block;Click;Rep;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;3;Virtual Edge;0;1;demo;15:48:13.848;15:48:19.584;347;109;27.225906780123964;1
2;3;Virtual Edge;0;2;demo;15:48:19.584;15:48:20.464;507;122;17.755280904564703;1
3;3;Virtual Edge;0;3;demo;15:48:20.464;15:48:21.135;667;116;4.6097722286464435;1
4;3;Virtual Edge;0;4;demo;15:48:21.135;15:48:21.783;851;113;15.008331019803634;1
5;3;Virtual Edge;0;5;demo;15:48:21.783;15:48:22.284;1018;116;10.594810050208546;1
6;3;Virtual Edge;0;6;demo;15:48:22.284;15:48:22.645;1167;106;14.534441853748634;1
7;3;Virtual Edge;0;7;demo;15:48:22.645;15:48:23.164;1381;258;17.269916039170543;1
8;3;Virtual Edge;0;8;demo;15:48:23.164;15:48:23.523;1381;438;24.86463351831271;1
9;3;Virtual Edge;0;9;demo;15:48:23.523;15:48:23.883;1382;615;29.516944286290883;1
10;3;Virtual Edge;0;10;demo;15:48:23.883;15:48:24.283;1381;770;13.647344063956181;1
11;3;Virtual Edge;0;11;demo;15:48:24.283;15:48:24.702;1157;898;25.283393759541063;1
12;3;Virtual Edge;0;12;demo;15:48:24.702;15:48:25.73;973;882;35.42950747611375;1
13;3;Virtual Edge;0;13;demo;15:48:25.73;15:48:25.395;805;896;32.14420632089086;1
14;3;Virtual Edge;0;14;demo;15:48:25.395;15:48:25.732;644;888;20.006249023742555;1
15;3;Virtual Edge;0;15;demo;15:48:25.732;15:48:26.43;469;893;23.648467180770936;1
16;3;Virtual Edge;0;16;demo;15:48:26.43;15:48:26.332;318;895;7.762087348130012;1
17;3;Virtual Edge;0;17;demo;15:48:26.332;15:48:26.725;110;743;15.20690632574555;1
18;3;Virtual Edge;0;18;demo;15:48:26.725;15:48:26.993;118;581;7.433034373659253;1
19;3;Virtual Edge;0;19;demo;15:48:26.993;15:48:27.264;123;406;13.200378782444085;1
20;3;Virtual Edge;0;20;demo;15:48:27.264;15:48:27.533;113;232;10.012492197250394;1
21;3;Virtual Edge;0;21;demo;15:48:27.533;15:48:28.609;747;501;3.1622776601683795;1
22;3;Virtual Edge;1;1;1;15:48:30.930;15:48:31.622;97;242;15.5;1
23;3;Virtual Edge;1;2;1;15:48:31.622;15:48:32.344;1370;210;36.47259244967377;0
24;3;Virtual Edge;1;3;1;15:48:32.344;15:48:33.355;113;418;4.031128874149275;1
25;3;Virtual Edge;1;4;1;15:48:33.355;15:48:34.135;1391;449;35.174564673923115;1
26;3;Virtual Edge;1;5;1;15:48:34.135;15:48:34.883;752;507;7.280109889280518;1
27;3;Virtual Edge;2;1;1;15:48:37.298;15:48:38.162;340;104;21.73131381210073;1
28;3;Virtual Edge;2;2;1;15:48:38.162;15:48:38.984;1146;881;34.61574786134195;1
29;3;Virtual Edge;2;3;1;15:48:38.984;15:48:39.716;1192;105;14.150971698084906;1
30;3;Virtual Edge;2;4;1;15:48:39.716;15:48:40.436;332;886;12.093386622447824;1
31;3;Virtual Edge;2;5;1;15:48:40.436;15:48:41.46;735;488;19.209372712298546;1
32;3;Virtual Edge;3;1;1;15:48:43.258;15:48:44.9;126;272;32.89756829919196;0
33;3;Virtual Edge;3;2;1;15:48:44.9;15:48:44.823;1389;773;15.074813431681335;1
34;3;Virtual Edge;3;3;1;15:48:44.823;15:48:45.625;110;757;2.692582403567252;1
35;3;Virtual Edge;3;4;1;15:48:45.625;15:48:46.460;1361;227;30.450779957170226;0
36;3;Virtual Edge;3;5;1;15:48:46.460;15:48:48.653;742;499;8.06225774829855;1
37;3;Virtual Edge;4;1;1;15:48:54.69;15:48:54.872;496;880;8.5;1
38;3;Virtual Edge;4;2;1;15:48:54.872;15:48:55.576;663;899;11.543396380615196;1
39;3;Virtual Edge;4;3;1;15:48:55.576;15:48:56.123;835;886;1.8027756377319946;1
40;3;Virtual Edge;4;4;1;15:48:56.123;15:48:56.715;1015;882;8.902246907382429;1
