Part;Cond;Block;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;0;0;1;13:26:27:57;13:26:26:28;363;111;43.02615483633182;1
1;0;0;2;13:26:27:515;13:26:27:57;518;114;26.043233286210835;1
1;0;0;3;13:26:27:935;13:26:27:515;687;118;23.648467180770936;1
1;0;0;4;13:26:28:357;13:26:27:935;869;116;33.185087012090236;1
1;0;0;5;13:26:28:748;13:26:28:357;1028;124;23.070543990118654;1
1;0;0;6;13:26:29:96;13:26:28:748;1207;115;27.115493725912497;1
1;0;0;7;13:26:29:647;13:26:29:96;1398;258;19.13765920900464;1
1;0;0;8;13:26:30:9;13:26:29:647;1400;416;12.658988901172163;1
1;0;0;9;13:26:30:357;13:26:30:9;1404;555;35.11765937530575;0
1;0;0;10;13:26:30:793;13:26:30:357;1389;757;1.8027756377319946;1
1;0;0;11;13:26:31:534;13:26:30:793;967;894;196.10775099419197;0
1;0;0;12;13:26:35:257;13:26:31:534;852;894;156.13535794303607;0
1;0;0;13;13:26:35:993;13:26:35:257;667;889;169.0066566736352;0
1;0;0;14;13:26:36:404;13:26:35:993;484;891;180.0340245620255;0
1;0;0;15;13:26:36:818;13:26:36:404;315;891;177.0346011377437;0
1;0;0;16;13:26:37:740;13:26:36:818;104;764;248.813685314936;0
1;0;0;17;13:26:38:41;13:26:37:740;120;612;146.1925100680606;0
1;0;0;18;13:26:38:362;13:26:38:41;119;425;161.1311577566549;0
1;0;0;19;13:26:38:628;13:26:38:362;102;254;160.34416110354627;0
1;0;0;20;13:26:39:78;13:26:38:628;330;102;258.66242479339746;0
1;0;0;21;13:26:39:966;13:26:39:78;786;517;39.81205847478876;1
1;0;1;1;13:26:43:380;13:26:41:580;352;108;32.31485726411305;1
1;0;1;2;13:26:45:13;13:26:43:380;1175;885;5.5901699437494745;1
1;0;1;3;13:26:45:911;13:26:45:13;1204;105;25.144581921360317;1
1;0;1;4;13:26:46:670;13:26:45:911;312;882;9.7082439194738;1
1;0;1;5;13:26:47:251;13:26:46:670;752;533;33.06055050963308;1
1;0;2;1;13:26:49:711;13:26:48:751;115;267;25.124689052802225;1
1;0;2;2;13:26:50:648;13:26:49:711;1387;789;31.00403199585499;1
1;0;2;3;13:26:51:673;13:26:50:648;121;751;11.01135777277262;1
1;0;2;4;13:26:52:467;13:26:51:673;1403;261;24.520399670478458;0
1;0;2;5;13:26:53:379;13:26:52:467;736;521;25.238858928247925;1
1;0;3;1;13:26:55:774;13:26:54:936;521;127;32.42298567374695;0
1;0;3;2;13:26:56:729;13:26:55:774;665;103;9.5524865872714;1
1;0;3;3;13:26:57:251;13:26:56:729;851;112;15.008331019803634;1
1;0;3;4;13:26:57:622;13:26:57:251;1010;123;10.688779163215974;1
1;0;3;5;13:26:58:241;13:26:57:622;764;501;14.035668847618199;1
1;0;4;1;13:27:0:594;13:27:0:24;516;897;25.811818998280614;1
1;0;4;2;13:27:1:73;13:27:0:594;693;895;29.95413160150032;1
1;0;4;3;13:27:1:532;13:27:1:73;849;888;13.009611831257688;1
1;0;4;4;13:27:1:886;13:27:1:532;976;888;32.00390601161052;1
1;0;4;5;13:27:2:523;13:27:1:886;754;491;9.848857801796104;1
1;0;5;1;13:27:5:12;13:27:4:121;124;287;46.446205442425544;1
1;0;5;2;13:27:5:946;13:27:5:12;116;448;34.1796723214252;1
1;0;5;3;13:27:6:330;13:27:5:946;108;591;6.726812023536855;1
1;0;5;4;13:27:6:752;13:27:6:330;108;772;14.705441169852742;1
1;0;5;5;13:27:7:317;13:27:6:752;758;515;17;1
1;0;6;1;13:27:9:358;13:27:8:692;1376;268;28.429737951659;1
1;0;6;2;13:27:9:857;13:27:9:358;1401;449;37.51333096380539;0
1;0;6;3;13:27:10:483;13:27:9:857;1391;627;41.14911906711977;1
1;0;6;4;13:27:10:930;13:27:10:483;1387;758;0.5;1
1;0;6;5;13:27:11:891;13:27:10:930;766;502;16.1245154965971;1
1;0;7;1;13:27:14:395;13:27:13:493;361;99;43.165379646193315;0
1;0;7;2;13:27:15:148;13:27:14:395;363;882;43.35031718453742;1
1;0;7;3;13:27:15:776;13:27:15:148;521;122;30.516389039334257;1
1;0;7;4;13:27:16:420;13:27:15:776;546;883;54.18717560456533;1
1;0;7;5;13:27:16:955;13:27:16:420;775;500;25;1
1;0;8;1;13:27:19:534;13:27:18:420;1196;887;16.00781059358212;1
1;0;8;2;13:27:20:54;13:27:19:534;1204;123;26.196373794859472;1
1;0;8;3;13:27:20:633;13:27:20:54;1021;891;13.46291201783626;1
1;0;8;4;13:27:21:185;13:27:20:633;1026;118;18.82153022471871;1
1;0;8;5;13:27:21:673;13:27:21:185;780;512;32.31098884280702;1
1;0;9;1;13:27:23:940;13:27:23:56;108;274;32.31485726411305;1
1;0;9;2;13:27:24:715;13:27:23:940;1395;287;45.62071897723665;1
1;0;9;3;13:27:25:353;13:27:24:715;113;462;48.00260409602796;1
1;0;9;4;13:27:26:66;13:27:25:353;1387;455;41.00304866714181;1
1;0;9;5;13:27:26:788;13:27:26:66;720;501;30.01666203960727;1
1;0;10;1;13:27:29:434;13:27:28:196;1387;754;4.031128874149275;1
1;0;10;2;13:27:30:66;13:27:29:434;107;761;6.264982043070834;1
1;0;10;3;13:27:30:789;13:27:30:66;1403;562;28.570089254323307;0
1;0;10;4;13:27:31:416;13:27:30:789;123;601;18.309833423600555;1
