Part;Cond;Block;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;1;0;1;13:34:38:850;13:34:38:379;770;538;619.3143386035883;0
1;1;0;2;13:34:39:0;13:34:38:850;771;556;523.9592064273706;0
1;1;0;3;13:34:39:158;13:34:39:0;781;566;468.34949556928103;0
1;1;0;4;13:34:39:311;13:34:39:158;766;580;472.71159283436236;0
1;1;0;5;13:34:39:448;13:34:39:311;759;591;539.4100944550445;0
1;1;0;6;13:34:39:601;13:34:39:448;737;604;661.6806253775306;0
1;1;0;7;13:34:39:763;13:34:39:601;742;607;741.5492229110621;0
1;1;0;8;13:34:39:910;13:34:39:763;733;615;684.6687155113779;0
1;1;0;9;13:34:40:57;13:34:39:910;730;624;658.5971834133517;0
1;1;0;10;13:34:40:222;13:34:40:57;723;621;678.4756812148834;0
1;1;0;11;13:34:40:367;13:34:40:222;719;629;528.5293274738876;0
1;1;0;12;13:34:40:539;13:34:40:367;711;626;395.71612299728196;0
1;1;0;13;13:34:40:668;13:34:40:539;702;620;299.18597894954905;0
1;1;0;14;13:34:40:820;13:34:40:668;706;610;280.6603819565562;0
1;1;0;15;13:34:40:990;13:34:40:820;705;611;349.02901025559464;0
1;1;0;16;13:34:41:138;13:34:40:990;697;608;469.30720216080215;0
1;1;0;17;13:34:41:290;13:34:41:138;684;618;588.3980370463518;0
1;1;0;18;13:34:41:460;13:34:41:290;687;611;575.0436939920305;0
1;1;0;19;13:34:41:590;13:34:41:460;682;613;603.267146461665;0
1;1;0;20;13:34:42:200;13:34:41:590;694;621;694.1060797889613;0
1;1;0;21;13:34:42:721;13:34:42:200;749;507;7.0710678118654755;1
1;1;1;1;13:34:45:368;13:34:44:401;343;93;30.153772566629204;1
1;1;1;2;13:34:46:443;13:34:45:368;1173;898;12.619429464123963;1
1;1;1;3;13:34:47:334;13:34:46:443;1185;110;5.5901699437494745;1
1;1;1;4;13:34:47:902;13:34:47:334;331;880;13.313526955694348;1
1;1;1;5;13:34:48:462;13:34:47:902;763;493;14.7648230602334;1
1;1;2;1;13:34:50:795;13:34:50:84;90;262;30.103986446980738;1
1;1;2;2;13:34:51:600;13:34:50:795;1392;808;50.202091589892945;1
1;1;2;3;13:34:52:228;13:34:51:600;104;768;13.124404748406688;1
1;1;2;4;13:34:52:819;13:34:52:228;1421;260;38.029593739612835;1
1;1;2;5;13:34:53:452;13:34:52:819;750;480;20;1
1;1;3;1;13:34:55:877;13:34:55:13;517;122;26.744158240632665;1
1;1;3;2;13:34:56:748;13:34:55:877;685;119;21.982947936980608;1
1;1;3;3;13:34:57:102;13:34:56:748;867;104;32.14420632089086;1
1;1;3;4;13:34:57:391;13:34:57:102;1001;109;7.826237921249264;1
1;1;3;5;13:34:57:871;13:34:57:391;778;506;28.635642126552707;1
1;1;4;1;13:34:59:713;13:34:59:255;495;901;13.82931668593933;1
1;1;4;2;13:35:0:6;13:34:59:713;682;908;27.28094573140748;1
1;1;4;3;13:35:0:315;13:35:0:6;863;906;32.72995569810628;1
1;1;4;4;13:35:0:564;13:35:0:315;1011;898;10.920164833920778;1
1;1;4;5;13:35:1:214;13:35:0:564;750;496;4;1
1;1;5;1;13:35:3:528;13:35:2:578;101;246;12.175795661885921;1
1;1;5;2;13:35:3:826;13:35:3:528;109;403;11.543396380615196;1
1;1;5;3;13:35:4:175;13:35:3:826;104;575;13.901438774457844;1
1;1;5;4;13:35:4:568;13:35:4:175;119;734;24.86463351831271;1
1;1;5;5;13:35:4:966;13:35:4:568;692;483;60.440052945046304;0
1;1;6;1;13:35:7:258;13:35:6:669;1396;287;45.79574216016157;1
1;1;6;2;13:35:7:627;13:35:7:258;1401;484;71.28990110808122;1
1;1;6;3;13:35:8:27;13:35:7:627;1392;658;72.1404879384663;1
1;1;6;4;13:35:8:298;13:35:8:27;1388;791;33.0037876614185;1
1;1;6;5;13:35:9:35;13:35:8:298;750;477;23;1
1;1;7;1;13:35:11:418;13:35:10:371;361;104;41.871828238088675;1
1;1;7;2;13:35:13:106;13:35:11:418;318;893;5.852349955359813;1
1;1;7;3;13:35:13:753;13:35:13:106;515;104;24.520399670478458;1
1;1;7;4;13:35:14:354;13:35:13:753;525;875;35.28809997718778;1
1;1;7;5;13:35:14:874;13:35:14:354;747;492;8.54400374531753;1
1;1;8;1;13:35:16:918;13:35:16:307;1173;901;15.20690632574555;1
1;1;8;2;13:35:17:415;13:35:16:918;1181;95;17.528548142958105;1
1;1;8;3;13:35:17:987;13:35:17:415;1003;907;20.130822139197395;1
1;1;8;4;13:35:18:803;13:35:17:987;1034;91;33.737960815674676;1
1;1;8;5;13:35:19:847;13:35:18:803;752;500;2;1
1;1;9;1;13:35:22:130;13:35:21:305;101;273;33.06433123473088;1
1;1;9;2;13:35:22:763;13:35:22:130;1389;262;20.05617112013158;1
1;1;9;3;13:35:23:354;13:35:22:763;108;456;42.24038352098617;1
1;1;9;4;13:35:24:14;13:35:23:354;1403;418;16.00781059358212;1
1;1;9;5;13:35:24:491;13:35:24:14;762;497;12.36931687685298;1
1;1;10;1;13:35:26:873;13:35:25:965;1408;809;54.96589851899085;1
1;1;10;2;13:35:27:388;13:35:26:873;88;796;45.2133829745132;1
1;1;10;3;13:35:27:990;13:35:27:388;1401;616;32.89756829919196;1
1;1;10;4;13:35:28:562;13:35:27:990;123;589;10.920164833920778;1
