Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;1;0;4;1;30-04-2018 13:35:35:397;30-04-2018 13:35:35:215;770;530;613.845461;0
1;1;0;4;2;30-04-2018 13:35:35:538;30-04-2018 13:35:35:397;756;525;489.7471286;0
1;1;0;4;3;30-04-2018 13:35:35:697;30-04-2018 13:35:35:538;735;551;444.2108171;0
1;1;0;4;4;30-04-2018 13:35:35:819;30-04-2018 13:35:35:697;735;564;462.6588916;0
1;1;0;4;5;30-04-2018 13:35:35:957;30-04-2018 13:35:35:819;730;572;537.0514407;0
1;1;0;4;6;30-04-2018 13:35:36:129;30-04-2018 13:35:35:957;709;587;668.5740423;0
1;1;0;4;7;30-04-2018 13:35:36:283;30-04-2018 13:35:36:129;706;590;765.2099385;0
1;1;0;4;8;30-04-2018 13:35:36:400;30-04-2018 13:35:36:283;715;597;696.9542668;0
1;1;0;4;9;30-04-2018 13:35:36:571;30-04-2018 13:35:36:400;707;601;680.6652995;0
1;1;0;4;10;30-04-2018 13:35:36:719;30-04-2018 13:35:36:571;706;602;699.1267768;0
1;1;0;4;11;30-04-2018 13:35:36:858;30-04-2018 13:35:36:719;705;609;550.6244183;0
1;1;0;4;12;30-04-2018 13:35:37:17;30-04-2018 13:35:36:858;690;610;422.054795;0
1;1;0;4;13;30-04-2018 13:35:37:158;30-04-2018 13:35:37:17;704;612;305.4901799;0
1;1;0;4;14;30-04-2018 13:35:37:350;30-04-2018 13:35:37:158;706;597;293.5204422;0
1;1;0;4;15;30-04-2018 13:35:37:479;30-04-2018 13:35:37:350;709;597;362.6006757;0
1;1;0;4;16;30-04-2018 13:35:37:681;30-04-2018 13:35:37:479;708;598;484.1014873;0
1;1;0;4;17;30-04-2018 13:35:37:929;30-04-2018 13:35:37:681;732;579;644.8420349;0
1;1;0;4;18;30-04-2018 13:35:38:237;30-04-2018 13:35:37:929;742;587;629.5007943;0
1;1;0;4;19;30-04-2018 13:35:38:500;30-04-2018 13:35:38:237;744;588;655.0330144;0
1;1;0;4;20;30-04-2018 13:35:38:996;30-04-2018 13:35:38:500;750;630;746.2909955;0
1;1;0;4;21;30-04-2018 13:35:39:667;30-04-2018 13:35:38:996;740;498;10.19803903;1
1;1;1;4;1;30-04-2018 13:35:42:305;30-04-2018 13:35:41:443;346;110;26.11991577;1
1;1;1;4;2;30-04-2018 13:35:43:200;30-04-2018 13:35:42:305;1173;886;7.158910532;1
1;1;1;4;3;30-04-2018 13:35:44:45;30-04-2018 13:35:43:200;1187;98;16.10124219;1
1;1;1;4;4;30-04-2018 13:35:44:544;30-04-2018 13:35:44:45;304;892;16.62077014;1
1;1;1;4;5;30-04-2018 13:35:45:25;30-04-2018 13:35:44:544;762;495;13;1
1;1;2;4;1;30-04-2018 13:35:47:399;30-04-2018 13:35:46:649;101;271;31.19695498;1
1;1;2;4;2;30-04-2018 13:35:48:207;30-04-2018 13:35:47:399;1409;818;63.73578273;1
1;1;2;4;3;30-04-2018 13:35:48:815;30-04-2018 13:35:48:207;92;792;39.70201506;1
1;1;2;4;4;30-04-2018 13:35:49:373;30-04-2018 13:35:48:815;1391;258;16.37833935;1
1;1;2;4;5;30-04-2018 13:35:50:386;30-04-2018 13:35:49:373;739;513;17.02938637;1
