Part;Cond;Block;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;0;0;1;13:49:42:740;13:49:42:258;351;131;36.10055401236939;0
2;0;0;2;13:49:43:193;13:49:42:740;552;123;60.91182151274086;1
2;0;0;3;13:49:43:569;13:49:43:193;686;119;22.940139493908923;1
2;0;0;4;13:49:43:961;13:49:43:569;857;118;21.70829334609241;1
2;0;0;5;13:49:44:298;13:49:43:961;1049;123;42.32316150761897;1
2;0;0;6;13:49:44:618;13:49:44:298;1198;117;18.553975315279473;1
2;0;0;7;13:49:45:90;13:49:44:618;1380;273;31.894356867634123;1
2;0;0;8;13:49:45:578;13:49:45:90;1391;476;62.09871174187111;1
2;0;0;9;13:49:45:980;13:49:45:578;1385;604;18.172781845386247;1
2;0;0;10;13:49:46:400;13:49:45:980;1387;781;23.005434140654682;1
2;0;0;11;13:49:46:852;13:49:46:400;1155;886;25.04495957273639;1
2;0;0;12;13:49:47:259;13:49:46:852;994;904;21.639085008382402;0
2;0;0;13;13:49:47:689;13:49:47:259;828;895;10.965856099730654;1
2;0;0;14;13:49:48:92;13:49:47:689;659;896;9.86154146165801;1
2;0;0;15;13:49:48:431;13:49:48:92;507;896;17.240939649566666;1
2;0;0;16;13:49:48:780;13:49:48:431;322;894;6.800735254367722;1
2;0;0;17;13:49:49:185;13:49:48:780;122;787;30.516389039334257;1
2;0;0;18;13:49:49:520;13:49:49:185;122;582;10.307764064044152;1
2;0;0;19;13:49:49:801;13:49:49:520;114;426;12.093386622447824;1
2;0;0;20;13:49:50:54;13:49:49:801;119;281;39.53795644693843;1
2;0;0;21;13:49:50:810;13:49:50:54;757;503;7.615773105863909;1
2;0;1;1;13:50:0:270;13:49:59:528;362;113;42.00297608503474;1
2;0;1;2;13:50:1:285;13:50:0:270;1196;885;16.194134740701646;1
2;0;1;3;13:50:2:6;13:50:1:285;1171;108;10.062305898749054;1
2;0;1;4;13:50:2:731;13:50:2:6;334;890;14.221462653327892;1
2;0;1;5;13:50:3:254;13:50:2:731;753;503;4.242640687119285;1
2;0;2;1;13:50:5:513;13:50:4:727;107;245;6.264982043070834;1
2;0;2;2;13:50:6:345;13:50:5:513;1388;778;20.006249023742555;1
2;0;2;3;13:50:6:994;13:50:6:345;92;767;22.38861317723811;0
2;0;2;4;13:50:7:693;13:50:6:994;1402;267;28.90069203323685;0
2;0;2;5;13:50:8:300;13:50:7:693;775;501;25.019992006393608;1
2;0;3;1;13:50:10:548;13:50:9:830;545;119;53.3970972993851;1
2;0;3;2;13:50:11:423;13:50:10:548;696;118;32.46921619010844;1
2;0;3;3;13:50:11:771;13:50:11:423;888;127;53.983793864455286;0
2;0;3;4;13:50:12:49;13:50:11:771;1043;131;39.588508433635134;0
2;0;3;5;13:50:12:834;13:50:12:49;754;524;24.331050121192877;1
2;0;4;1;13:50:15:119;13:50:14:258;491;886;1.8027756377319946;1
2;0;4;2;13:50:15:537;13:50:15:119;674;893;11.412712210513327;1
2;0;4;3;13:50:15:836;13:50:15:537;854;895;19.5;1
2;0;4;4;13:50:16:137;13:50:15:836;1017;891;9.656603957913983;1
2;0;4;5;13:50:16:593;13:50:16:137;760;496;10.770329614269007;1
2;0;5;1;13:50:18:954;13:50:18:69;108;271;29.34706118165838;1
2;0;5;2;13:50:19:367;13:50:18:954;116;464;50.12235030403104;1
2;0;5;3;13:50:19:671;13:50:19:367;130;606;26.575364531836623;0
2;0;5;4;13:50:19:973;13:50:19:671;113;740;18.006943105369107;1
2;0;5;5;13:50:20:522;13:50:19:973;758;513;15.264337522473747;1
2;0;6;1;13:50:22:648;13:50:21:936;1383;289;47.214934078107106;1
2;0;6;2;13:50:23:51;13:50:22:648;1390;480;66.04733151308992;1
2;0;6;3;13:50:23:369;13:50:23:51;1391;605;19.319679086361656;1
2;0;6;4;13:50:23:750;13:50:23:369;1384;776;18.33712082089225;1
2;0;6;5;13:50:24:307;13:50:23:750;757;506;9.219544457292887;1
2;0;7;1;13:50:26:548;13:50:25:751;354;129;37.79219496139381;0
2;0;7;2;13:50:27:621;13:50:26:548;357;890;37.08436328157732;1
2;0;7;3;13:50:28:203;13:50:27:621;499;113;7.0178344238090995;1
2;0;7;4;13:50:28:878;13:50:28:203;518;877;28.040149785619906;1
2;0;7;5;13:50:29:358;13:50:28:878;759;513;15.811388300841896;1
2;0;8;1;13:50:32:12;13:50:30:984;1180;879;8.5;1
2;0;8;2;13:50:32:935;13:50:32:12;1178;119;6.800735254367722;1
2;0;8;3;13:50:33:583;13:50:32:935;999;893;10.547511554864494;1
2;0;8;4;13:50:34:210;13:50:33:583;1000;116;8.73212459828649;1
2;0;8;5;13:50:34:751;13:50:34:210;763;516;20.615528128088304;1
2;0;9;1;13:50:37:99;13:50:36:366;126;266;27.536339626028727;0
2;0;9;2;13:50:38:886;13:50:37:99;1389;280;42.26405091800832;0
2;0;9;3;13:50:39:715;13:50:38:886;94;428;14.080127840328723;1
2;0;9;4;13:50:40:410;13:50:39:715;1355;426;19.60229578391266;0
2;0;9;5;13:50:41:19;13:50:40:410;727;499;6.082762530298219;1
2;0;10;1;13:50:43:494;13:50:42:461;1368;775;17.18284027743958;1
2;0;10;2;13:50:44:106;13:50:43:494;92;799;41.14911906711977;1
2;0;10;3;13:50:44:776;13:50:44:106;1373;628;42.07433897282285;1
2;0;10;4;13:50:45:447;13:50:44:776;95;609;23.005434140654682;1
