Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;1;0;2;1;30-04-2018 13:33:42:337;30-04-2018 13:33:41:531;528;459;404.136425;0
1;1;0;2;2;30-04-2018 13:33:42:490;30-04-2018 13:33:42:337;530;472;361.5027662;0
1;1;0;2;3;30-04-2018 13:33:42:636;30-04-2018 13:33:42:490;520;494;407.7723017;0
1;1;0;2;4;30-04-2018 13:33:42:779;30-04-2018 13:33:42:636;514;501;504.5951347;0
1;1;0;2;5;30-04-2018 13:33:42:917;30-04-2018 13:33:42:779;498;506;644.1601121;0
1;1;0;2;6;30-04-2018 13:33:43:78;30-04-2018 13:33:42:917;502;502;781.9170352;0
1;1;0;2;7;30-04-2018 13:33:43:228;30-04-2018 13:33:43:78;503;501;921.640521;0
1;1;0;2;8;30-04-2018 13:33:43:380;30-04-2018 13:33:43:228;501;515;892.2349747;0
1;1;0;2;9;30-04-2018 13:33:43:517;30-04-2018 13:33:43:380;500;528;889.393192;0
1;1;0;2;10;30-04-2018 13:33:43:669;30-04-2018 13:33:43:517;513;511;908.7129635;0
1;1;0;2;11;30-04-2018 13:33:43:827;30-04-2018 13:33:43:669;511;550;749.3111837;0
1;1;0;2;12;30-04-2018 13:33:43:969;30-04-2018 13:33:43:827;491;568;607.7575586;0
1;1;0;2;13;30-04-2018 13:33:44:128;30-04-2018 13:33:43:969;483;567;476.7905725;0
1;1;0;2;14;30-04-2018 13:33:44:279;30-04-2018 13:33:44:128;492;577;354.9566875;0
1;1;0;2;15;30-04-2018 13:33:44:437;30-04-2018 13:33:44:279;495;571;316.5142177;0
1;1;0;2;16;30-04-2018 13:33:44:596;30-04-2018 13:33:44:437;482;589;339.6266332;0
1;1;0;2;17;30-04-2018 13:33:44:776;30-04-2018 13:33:44:596;505;590;426.9429119;0
1;1;0;2;18;30-04-2018 13:33:45:130;30-04-2018 13:33:44:776;529;559;417.3742326;0
1;1;0;2;19;30-04-2018 13:33:45:409;30-04-2018 13:33:45:130;572;544;477.5356008;0
1;1;0;2;20;30-04-2018 13:33:45:977;30-04-2018 13:33:45:409;700;604;690.0726411;0
1;1;0;2;21;30-04-2018 13:33:46:699;30-04-2018 13:33:45:977;746;496;5.656854249;1
1;1;1;2;1;30-04-2018 13:33:49:457;30-04-2018 13:33:48:674;336;110;16.19413474;1
1;1;1;2;2;30-04-2018 13:33:50:105;30-04-2018 13:33:49:457;1200;894;21.02974084;1
1;1;1;2;3;30-04-2018 13:33:50:765;30-04-2018 13:33:50:105;1216;117;36.28015987;1
1;1;1;2;4;30-04-2018 13:33:51:339;30-04-2018 13:33:50:765;351;884;31.19695498;1
1;1;1;2;5;30-04-2018 13:33:51:948;30-04-2018 13:33:51:339;760;493;12.20655562;1
1;1;2;2;1;30-04-2018 13:33:54:252;30-04-2018 13:33:53:510;100;267;27.95084972;1
1;1;2;2;2;30-04-2018 13:33:54:890;30-04-2018 13:33:54:252;1400;770;17.32772345;1
1;1;2;2;3;30-04-2018 13:33:55:442;30-04-2018 13:33:54:890;76;769;38.12151623;1
1;1;2;2;4;30-04-2018 13:33:56:31;30-04-2018 13:33:55:442;1424;238;36.71852394;1
1;1;2;2;5;30-04-2018 13:33:56:591;30-04-2018 13:33:56:31;756;502;6.32455532;1
1;1;3;2;1;30-04-2018 13:33:58:813;30-04-2018 13:33:58:84;505;113;13.00961183;1
1;1;3;2;2;30-04-2018 13:33:59:651;30-04-2018 13:33:58:813;697;78;47.74149139;1
1;1;3;2;3;30-04-2018 13:33:59:937;30-04-2018 13:33:59:651;869;92;38.84906691;1
1;1;3;2;4;30-04-2018 13:34:0:216;30-04-2018 13:33:59:937;1013;107;7.433034374;1
