Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;0;0;1;1;13:24:40:348;13:24:39:389;343;111;23.04886114;1
1;0;0;1;2;13:24:40:729;13:24:40:348;500;97;17.44276354;0
1;0;0;1;3;13:24:41:30;13:24:40:729;707;102;44.26341605;1
1;0;0;1;4;13:24:41:339;13:24:41:30;891;99;56.63258779;0
1;0;0;1;5;13:24:41:715;13:24:41:339;1054;110;46.06788469;1
1;0;0;1;6;13:24:42:10;13:24:41:715;1215;124;36.84087404;1
1;0;0;1;7;13:24:42:450;13:24:42:10;1433;265;50.98284025;0
1;0;0;1;8;13:24:43:180;13:24:42:450;1396;416;8.732124598;1
1;0;0;1;9;13:24:43:500;13:24:43:180;1399;567;22.20923231;1
1;0;0;1;10;13:24:43:913;13:24:43:500;1401;726;34.73110997;0
1;0;0;1;11;13:24:44:299;13:24:43:913;1203;890;23.1354706;1
1;0;0;1;12;13:24:44:631;13:24:44:299;1007;896;8.558621384;1
1;0;0;1;13;13:24:44:950;13:24:44:631;796;895;40.69705149;1
1;0;0;1;14;13:24:45:315;13:24:44:950;623;891;41.14911907;1
1;0;0;1;15;13:24:45:619;13:24:45:315;450;891;42.14558103;1
1;0;0;1;16;13:24:45:920;13:24:45:619;300;892;20.5;1
1;0;0;1;17;13:24:46:282;13:24:45:920;112;746;12.01041215;1
1;0;0;1;18;13:24:46:571;13:24:46:282;115;600;14.22146265;1
1;0;0;1;19;13:24:46:921;13:24:46:571;109;424;10.59481005;1
1;0;0;1;20;13:24:47:230;13:24:46:921;103;264;23.96351393;1
1;0;0;1;21;13:24:49:275;13:24:47:230;750;504;4;1
1;0;1;1;1;13:24:52:255;13:24:51:336;329;114;9.124143795;1
1;0;1;1;2;13:24:52:984;13:24:52:255;1214;903;37.36642878;0
1;0;1;1;3;13:24:54:14;13:24:52:984;1198;108;18.55397532;1
1;0;1;1;4;13:24:54:720;13:24:54:14;363;887;43.00290688;1
1;0;1;1;5;13:24:55:320;13:24:54:720;762;521;24.18677324;1
1;0;2;1;1;13:24:57:802;13:24:56:914;118;237;7.433034374;1
1;0;2;1;2;13:24:58:562;13:24:57:802;1384;784;26.23451924;1
1;0;2;1;3;13:24:59:364;13:24:58:562;107;757;5.590169944;1
1;0;2;1;4;13:25:0:145;13:24:59:364;1386;273;31.03626911;1
1;0;2;1;5;13:25:0:729;13:25:0:145;745;471;29.42787794;1
1;0;3;1;1;13:25:3:27;13:25:2:283;510;122;20.35313244;1
1;0;3;1;2;13:25:3:803;13:25:3:27;680;100;20.3039405;1
1;0;3;1;3;13:25:4:474;13:25:3:803;866;100;32.5;1
1;0;3;1;4;13:25:4:823;13:25:4:474;1014;126;14.7732867;0
1;0;3;1;5;13:25:5:912;13:25:4:823;753;509;9.486832981;1
1;0;4;1;1;13:25:8:79;13:25:7:524;511;885;19.1637679;1
1;0;4;1;2;13:25:8:440;13:25:8:79;666;888;2.061552813;1
1;0;4;1;3;13:25:8:772;13:25:8:440;853;888;17.00735135;1
1;0;4;1;4;13:25:9:67;13:25:8:772;997;869;21.52324325;0
1;0;4;1;5;13:25:9:842;13:25:9:67;757;505;8.602325267;1
1;0;5;1;1;13:25:12:334;13:25:11:356;120;282;40.69705149;1
1;0;5;1;2;13:25:12:753;13:25:12:334;120;421;10.25914226;1
1;0;5;1;3;13:25:13:200;13:25:12:753;117;602;16.62077014;1
1;0;5;1;4;13:25:13:599;13:25:13:200;114;768;10.11187421;1
1;0;5;1;5;13:25:14:243;13:25:13:599;772;516;27.20294102;1
1;0;6;1;1;13:25:16:715;13:25:16:63;1393;272;30.5;1
1;0;6;1;2;13:25:17:97;13:25:16:715;1389;427;13.08625233;1
1;0;6;1;3;13:25:17:542;13:25:17:97;1381;605;20.08108563;1
1;0;6;1;4;13:25:17:926;13:25:17:542;1386;761;3.354101966;1
1;0;6;1;5;13:25:18:453;13:25:17:926;762;499;12.04159458;1
1;0;7;1;1;13:25:20:872;13:25:20:18;363;102;44.26341605;1
1;0;7;1;2;13:25:21:458;13:25:20:872;351;886;31.03626911;1
1;0;7;1;3;13:25:22:408;13:25:21:458;512;127;24.70323865;0
1;0;7;1;4;13:25:23:117;13:25:22:408;528;887;36.00347205;1
1;0;7;1;5;13:25:23:761;13:25:23:117;775;492;26.2488095;1
1;0;8;1;1;13:25:26:308;13:25:25:271;1210;893;30.5;1
1;0;8;1;2;13:25:27:17;13:25:26:308;1254;107;74.2041104;1
1;0;8;1;3;13:25:27:758;13:25:27:17;1021;881;14.53444185;1
1;0;8;1;4;13:25:28:395;13:25:27:758;1028;112;20.00624902;1
1;0;8;1;5;13:25:29:56;13:25:28:395;755;504;6.403124237;1
1;0;9;1;1;13:25:31:509;13:25:30:654;108;274;32.31485726;1
1;0;9;1;2;13:25:32:213;13:25:31:509;1384;291;49.12484097;1
1;0;9;1;3;13:25:34:70;13:25:32:213;109;424;10.59481005;1
1;0;9;1;4;13:25:34:802;13:25:34:70;1388;411;3.041381265;1
1;0;9;1;5;13:25:35:291;13:25:34:802;731;499;19.02629759;1
1;0;10;1;1;13:25:37:437;13:25:36:710;1396;772;16.37833935;1
1;0;10;1;2;13:25:38:207;13:25:37:437;112;795;37.00337822;1
1;0;10;1;3;13:25:38:869;13:25:38:207;1410;587;22.52221126;0
1;0;10;1;4;13:25:39:711;13:25:38:869;127;610;28.04014979;0
