Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;1;0;5;1;30-04-2018 13:45:40:251;30-04-2018 13:45:39:481;362;100;43.82065723;1
2;1;0;5;2;30-04-2018 13:45:40:667;30-04-2018 13:45:40:251;535;112;43.00290688;1
2;1;0;5;3;30-04-2018 13:45:40:996;30-04-2018 13:45:40:667;687;113;23.00543414;1
2;1;0;5;4;30-04-2018 13:45:41:372;30-04-2018 13:45:40:996;869;114;33.03407332;1
2;1;0;5;5;30-04-2018 13:45:41:681;30-04-2018 13:45:41:372;1041;119;33.63406012;1
2;1;0;5;6;30-04-2018 13:45:42:14;30-04-2018 13:45:41:681;1214;120;34.81738072;1
2;1;0;5;7;30-04-2018 13:45:42:515;30-04-2018 13:45:42:14;1391;280;38.16084381;1
2;1;0;5;8;30-04-2018 13:45:42:876;30-04-2018 13:45:42:515;1387;442;28.00446393;1
2;1;0;5;9;30-04-2018 13:45:43:256;30-04-2018 13:45:42:876;1378;595;13.08625233;1
2;1;0;5;10;30-04-2018 13:45:43:572;30-04-2018 13:45:43:256;1400;761;12.85496013;1
2;1;0;5;11;30-04-2018 13:45:44:32;30-04-2018 13:45:43:572;1173;896;11.01135777;1
2;1;0;5;12;30-04-2018 13:45:44:472;30-04-2018 13:45:44:32;976;899;34.00367627;1
2;1;0;5;13;30-04-2018 13:45:44:819;30-04-2018 13:45:44:472;818;893;18.82153022;1
2;1;0;5;14;30-04-2018 13:45:45:142;30-04-2018 13:45:44:819;669;895;9.013878189;1
2;1;0;5;15;30-04-2018 13:45:45:938;30-04-2018 13:45:45:142;349;894;140.1508116;0
2;1;0;5;16;30-04-2018 13:45:46:806;30-04-2018 13:45:45:938;331;886;14.08012784;1
2;1;0;5;17;30-04-2018 13:45:47:348;30-04-2018 13:45:46:806;106;772;14.43086969;1
2;1;0;5;18;30-04-2018 13:45:47:676;30-04-2018 13:45:47:348;118;569;19.00657781;1
2;1;0;5;19;30-04-2018 13:45:48:9;30-04-2018 13:45:47:676;113;395;19.31967909;1
2;1;0;5;20;30-04-2018 13:45:48:275;30-04-2018 13:45:48:9;113;256;14.43086969;1
2;1;0;5;21;30-04-2018 13:45:48:966;30-04-2018 13:45:48:275;758;517;20.24845673;1
2;1;1;5;1;30-04-2018 13:46:14:43;30-04-2018 13:46:13:301;369;110;52.06006147;1
2;1;1;5;2;30-04-2018 13:46:14:934;30-04-2018 13:46:14:43;1164;885;13.23820229;1
2;1;1;5;3;30-04-2018 13:46:15:457;30-04-2018 13:46:14:934;1199;114;22.05107707;1
2;1;1;5;4;30-04-2018 13:46:16:60;30-04-2018 13:46:15:457;365;876;49.35838328;1
2;1;1;5;5;30-04-2018 13:46:16:525;30-04-2018 13:46:16:60;771;514;27.78488798;1
2;1;2;5;1;30-04-2018 13:46:18:580;30-04-2018 13:46:17:910;109;257;15.00833102;1
2;1;2;5;2;30-04-2018 13:46:19:170;30-04-2018 13:46:18:580;1386;780;22.05107707;1
2;1;2;5;3;30-04-2018 13:46:19:738;30-04-2018 13:46:19:170;114;778;20.5;1
2;1;2;5;4;30-04-2018 13:46:20:360;30-04-2018 13:46:19:738;1373;255;17.35655496;1
2;1;2;5;5;30-04-2018 13:46:20:948;30-04-2018 13:46:20:360;753;502;6.32455532;1
2;1;3;5;1;30-04-2018 13:46:22:991;30-04-2018 13:46:22:321;519;108;30.33562262;1
