Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;0;0;2;1;30-04-2018 13:48:36:673;30-04-2018 13:48:35:735;362;114;42.02677718;1
2;0;0;2;2;30-04-2018 13:48:37:494;30-04-2018 13:48:36:673;537;117;45.2244403;1
2;0;0;2;3;30-04-2018 13:48:37:863;30-04-2018 13:48:37:494;720;124;57.16861027;1
2;0;0;2;4;30-04-2018 13:48:38:255;30-04-2018 13:48:37:863;873;127;39.73977856;0
2;0;0;2;5;30-04-2018 13:48:38:646;30-04-2018 13:48:38:255;1038;121;31.18092366;1
2;0;0;2;6;30-04-2018 13:48:39:43;30-04-2018 13:48:38:646;1197;118;17.86756839;1
2;0;0;2;7;30-04-2018 13:48:39:586;30-04-2018 13:48:39:43;1388;271;29.00431002;1
2;0;0;2;8;30-04-2018 13:48:40:54;30-04-2018 13:48:39:586;1396;478;64.56198572;1
2;0;0;2;9;30-04-2018 13:48:40:464;30-04-2018 13:48:40:54;1391;606;20.3039405;1
2;0;0;2;10;30-04-2018 13:48:40:908;30-04-2018 13:48:40:464;1396;781;24.52039967;1
2;0;0;2;11;30-04-2018 13:48:41:383;30-04-2018 13:48:40:908;1138;894;42.5;1
2;0;0;2;12;30-04-2018 13:48:41:846;30-04-2018 13:48:41:383;957;900;52.50952295;1
2;0;0;2;13;30-04-2018 13:48:42:235;30-04-2018 13:48:41:846;821;899;18.90105817;1
2;0;0;2;14;30-04-2018 13:48:42:672;30-04-2018 13:48:42:235;647;900;21.10094785;1
2;0;0;2;15;30-04-2018 13:48:43:112;30-04-2018 13:48:42:672;471;895;22.29910312;1
2;0;0;2;16;30-04-2018 13:48:43:483;30-04-2018 13:48:43:112;339;898;21.70829335;1
2;0;0;2;17;30-04-2018 13:48:43:958;30-04-2018 13:48:43:483;113;776;18.00694311;1
2;0;0;2;18;30-04-2018 13:48:44:314;30-04-2018 13:48:43:958;118;581;7.433034374;1
2;0;0;2;19;30-04-2018 13:48:44:664;30-04-2018 13:48:44:314;111;434;20.05617112;1
2;0;0;2;20;30-04-2018 13:48:44:995;30-04-2018 13:48:44:664;120;283;41.68033109;1
2;0;0;2;21;30-04-2018 13:48:45:583;30-04-2018 13:48:44:995;780;519;35.51056181;1
2;0;1;2;1;30-04-2018 13:48:47:860;30-04-2018 13:48:47:117;351;100;33.42528983;1
2;0;1;2;2;30-04-2018 13:48:48:621;30-04-2018 13:48:47:860;1155;887;25.0049995;1
2;0;1;2;3;30-04-2018 13:48:49:843;30-04-2018 13:48:48:621;1182;118;5.852349955;1
2;0;1;2;4;30-04-2018 13:48:50:585;30-04-2018 13:48:49:843;349;887;29.00431002;1
