Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
1;0;0;3;1;30-04-2018 13:28:50:919;30-04-2018 13:28:49:907;359;117;39.25875698;1
1;0;0;3;2;30-04-2018 13:28:51:280;30-04-2018 13:28:50:919;528;106;36.58209945;1
1;0;0;3;3;30-04-2018 13:28:51:570;30-04-2018 13:28:51:280;697;112;33.00378766;1
1;0;0;3;4;30-04-2018 13:28:51:891;30-04-2018 13:28:51:570;854;121;19.90602924;1
1;0;0;3;5;30-04-2018 13:28:52:253;30-04-2018 13:28:51:891;1032;112;24.00520777;1
1;0;0;3;6;30-04-2018 13:28:52:591;30-04-2018 13:28:52:253;1205;117;25.40177159;1
1;0;0;3;7;30-04-2018 13:28:53:58;30-04-2018 13:28:52:591;1415;250;28.64000698;0
1;0;0;3;8;30-04-2018 13:28:53:376;30-04-2018 13:28:53:58;1385;441;27.11549373;1
1;0;0;3;9;30-04-2018 13:28:53:685;30-04-2018 13:28:53:376;1408;609;30.80990101;0
1;0;0;3;10;30-04-2018 13:28:54:13;30-04-2018 13:28:53:685;1401;762;14.08012784;0
1;0;0;3;11;30-04-2018 13:29:1:966;30-04-2018 13:28:54:13;1017;894;163.1295497;0
1;0;0;3;12;30-04-2018 13:29:2:615;30-04-2018 13:29:1:966;845;903;163.7353047;0
1;0;0;3;13;30-04-2018 13:29:3:16;30-04-2018 13:29:2:615;686;894;150.1407673;0
1;0;0;3;14;30-04-2018 13:29:3:375;30-04-2018 13:29:3:16;499;893;165.0916412;0
1;0;0;3;15;30-04-2018 13:29:3:728;30-04-2018 13:29:3:375;335;893;157.096308;0
1;0;0;3;16;30-04-2018 13:29:4:167;30-04-2018 13:29:3:728;116;817;215.8384813;0
1;0;0;3;17;30-04-2018 13:29:4:559;30-04-2018 13:29:4:167;99;627;131.6937736;0
1;0;0;3;18;30-04-2018 13:29:4:934;30-04-2018 13:29:4:559;86;439;149.3695083;0
1;0;0;3;19;30-04-2018 13:29:5:266;30-04-2018 13:29:4:934;101;273;141.4681943;0
1;0;0;3;20;30-04-2018 13:29:6:388;30-04-2018 13:29:5:266;108;247;6.726812024;1
1;0;0;3;21;30-04-2018 13:29:7:124;30-04-2018 13:29:6:388;752;486;14.14213562;1
1;0;1;3;1;30-04-2018 13:29:9:472;30-04-2018 13:29:8:650;331;112;11.01135777;1
