Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
3;1;0;3;1;30-04-2018 14:8:7:13;30-04-2018 14:8:6:34;335;97;21.56965461;1
3;1;0;3;2;30-04-2018 14:8:7:641;30-04-2018 14:8:7:13;501;96;18.79494613;1
3;1;0;3;3;30-04-2018 14:8:8:121;30-04-2018 14:8:7:641;668;103;10.30776406;1
3;1;0;3;4;30-04-2018 14:8:8:541;30-04-2018 14:8:8:121;821;87;29.58462438;1
3;1;0;3;5;30-04-2018 14:8:8:961;30-04-2018 14:8:8:541;1018;92;22.80898946;1
3;1;0;3;6;30-04-2018 14:8:9:313;30-04-2018 14:8:8:961;1172;99;15.69235483;1
3;1;0;3;7;30-04-2018 14:8:9:820;30-04-2018 14:8:9:313;1413;238;25.811819;1
3;1;0;3;8;30-04-2018 14:8:10:238;30-04-2018 14:8:9:820;1400;419;13.46291202;1
3;1;0;3;9;30-04-2018 14:8:10:643;30-04-2018 14:8:10:238;1402;593;16.10124219;1
3;1;0;3;10;30-04-2018 14:8:11:25;30-04-2018 14:8:10:643;1398;746;15.94521872;1
3;1;0;3;11;30-04-2018 14:8:11:685;30-04-2018 14:8:11:25;1174;903;16.62077014;1
3;1;0;3;12;30-04-2018 14:8:12:33;30-04-2018 14:8:11:685;976;911;39.70201506;1
3;1;0;3;13;30-04-2018 14:8:12:396;30-04-2018 14:8:12:33;813;903;27.7353565;1
3;1;0;3;14;30-04-2018 14:8:12:774;30-04-2018 14:8:12:396;647;903;23.00543414;1
3;1;0;3;15;30-04-2018 14:8:13:261;30-04-2018 14:8:12:774;477;909;26.21545346;1
3;1;0;3;16;30-04-2018 14:8:13:633;30-04-2018 14:8:13:261;340;904;25.92778432;1
3;1;0;3;17;30-04-2018 14:8:14:224;30-04-2018 14:8:13:633;94;747;21.52324325;1
3;1;0;3;18;30-04-2018 14:8:14:581;30-04-2018 14:8:14:224;102;583;10.92016483;1
3;1;0;3;19;30-04-2018 14:8:15:63;30-04-2018 14:8:14:581;94;405;20.57304061;1
3;1;0;3;20;30-04-2018 14:8:15:401;30-04-2018 14:8:15:63;85;235;28.37692725;1
3;1;0;3;21;30-04-2018 14:8:16:50;30-04-2018 14:8:15:401;758;499;8.062257748;1
3;1;1;3;1;30-04-2018 14:8:18:627;30-04-2018 14:8:17:634;334;86;29.97081914;1
3;1;1;3;2;30-04-2018 14:8:19:572;30-04-2018 14:8:18:627;1190;903;18.44586675;1
3;1;1;3;3;30-04-2018 14:8:20:270;30-04-2018 14:8:19:572;1193;76;38.74596753;1
3;1;1;3;4;30-04-2018 14:8:20:982;30-04-2018 14:8:20:270;330;918;32.09750769;1
3;1;1;3;5;30-04-2018 14:8:21:542;30-04-2018 14:8:20:982;755;518;18.68154169;1
3;1;2;3;1;30-04-2018 14:8:24:229;30-04-2018 14:8:23:116;99;235;15.20690633;1
3;1;2;3;2;30-04-2018 14:8:25:53;30-04-2018 14:8:24:229;1405;725;37.35304539;1
3;1;2;3;3;30-04-2018 14:8:25:869;30-04-2018 14:8:25:53;77;747;37.16517187;1
3;1;2;3;4;30-04-2018 14:8:26:642;30-04-2018 14:8:25:869;1395;254;14.1509717;1
3;1;2;3;5;30-04-2018 14:8:27:323;30-04-2018 14:8:26:642;744;519;19.92485885;1
3;1;3;3;1;30-04-2018 14:8:29:689;30-04-2018 14:8:28:834;494;97;15.62849961;1
3;1;3;3;2;30-04-2018 14:8:30:563;30-04-2018 14:8:29:689;686;98;26.34862425;1
3;1;3;3;3;30-04-2018 14:8:31:92;30-04-2018 14:8:30:563;822;99;19.44865034;1
3;1;3;3;4;30-04-2018 14:8:31:521;30-04-2018 14:8:31:92;974;89;41.33098112;1
3;1;3;3;5;30-04-2018 14:8:32:90;30-04-2018 14:8:31:521;772;529;36.40054945;1
3;1;4;3;1;30-04-2018 14:8:34:144;30-04-2018 14:8:33:544;507;904;22.29910312;1
3;1;4;3;2;30-04-2018 14:8:34:564;30-04-2018 14:8:34:144;686;907;29.39812919;1
3;1;4;3;3;30-04-2018 14:8:35:13;30-04-2018 14:8:34:564;834;907;19.60229578;1
3;1;4;3;4;30-04-2018 14:8:35:474;30-04-2018 14:8:35:13;1014;902;15.69235483;1
3;1;4;3;5;30-04-2018 14:8:35:991;30-04-2018 14:8:35:474;764;528;31.30495168;1
3;1;5;3;1;30-04-2018 14:8:38:760;30-04-2018 14:8:37:813;103;239;9.962429423;1
3;1;5;3;2;30-04-2018 14:8:39:654;30-04-2018 14:8:38:760;109;427;13.46291202;1
3;1;5;3;3;30-04-2018 14:8:40:105;30-04-2018 14:8:39:654;93;605;27.22590678;1
3;1;5;3;4;30-04-2018 14:8:40:528;30-04-2018 14:8:40:105;107;764;8.139410298;1
3;1;5;3;5;30-04-2018 14:8:41:33;30-04-2018 14:8:40:528;724;499;26.01922366;1
3;1;6;3;1;30-04-2018 14:8:43:380;30-04-2018 14:8:42:596;1400;255;18.0346888;1
3;1;6;3;2;30-04-2018 14:8:43:801;30-04-2018 14:8:43:380;1410;427;25.98557292;1
3;1;6;3;3;30-04-2018 14:8:44:194;30-04-2018 14:8:43:801;1409;589;21.70829335;1
3;1;6;3;4;30-04-2018 14:8:44:572;30-04-2018 14:8:44:194;1405;741;24.3977458;1
3;1;6;3;5;30-04-2018 14:8:45:114;30-04-2018 14:8:44:572;717;487;35.4682957;1
3;1;7;3;1;30-04-2018 14:8:47:462;30-04-2018 14:8:46:507;357;93;41.82403615;1
3;1;7;3;2;30-04-2018 14:8:47:828;30-04-2018 14:8:47:462;504;101;807.7364979;0
3;1;7;3;3;30-04-2018 14:8:48:631;30-04-2018 14:8:47:828;528;94;40.47530111;1
3;1;7;3;4;30-04-2018 14:8:50:402;30-04-2018 14:8:48:631;488;840;11.23610253;1
3;1;7;3;5;30-04-2018 14:8:51:255;30-04-2018 14:8:50:402;758;444;8.246211251;1
3;1;8;3;1;30-04-2018 14:8:57:29;30-04-2018 14:8:55:944;1178;881;10.68877916;1
3;1;8;3;2;30-04-2018 14:8:57:858;30-04-2018 14:8:57:29;1187;73;23.56374334;1
3;1;8;3;3;30-04-2018 14:8:58:686;30-04-2018 14:8:57:858;996;877;13.64734406;1
3;1;8;3;4;30-04-2018 14:8:59:451;30-04-2018 14:8:58:686;1011;94;3.354101966;1
3;1;8;3;5;30-04-2018 14:9:0:89;30-04-2018 14:8:59:451;750;481;2;1
3;1;9;3;1;30-04-2018 14:9:2:326;30-04-2018 14:9:1:482;111;219;6.184658438;1
3;1;9;3;2;30-04-2018 14:9:3:191;30-04-2018 14:9:2:326;1387;214;11.01135777;1
3;1;9;3;3;30-04-2018 14:9:3:960;30-04-2018 14:9:3:191;85;417;34.00367627;1
3;1;9;3;4;30-04-2018 14:9:4:692;30-04-2018 14:9:3:960;1410;365;39.11840999;1
3;1;9;3;5;30-04-2018 14:9:5:371;30-04-2018 14:9:4:692;747;501;18.24828759;1
3;1;10;3;1;30-04-2018 14:9:7:999;30-04-2018 14:9:6:956;1394;721;21.02974084;1
3;1;10;3;2;30-04-2018 14:9:8:781;30-04-2018 14:9:7:999;88;749;25.77304794;1
3;1;10;3;3;30-04-2018 14:9:9:598;30-04-2018 14:9:8:781;1411;590;31.51586902;1
3;1;10;3;4;30-04-2018 14:9:10:377;30-04-2018 14:9:9:598;89;564;24.02602755;1
