Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;0;0;5;1;13:52:10:322;13:52:9:821;353;88;33.00378766;1
2;0;0;5;2;13:52:10:762;13:52:10:322;527;98;36.26637561;1
2;0;0;5;3;13:52:11:155;13:52:10:762;683;103;23.90083681;0
2;0;0;5;4;13:52:11:583;13:52:11:155;858;88;22.00568108;1
2;0;0;5;5;13:52:11:943;13:52:11:583;1013;95;8.200609733;1
2;0;0;5;6;13:52:12:262;13:52:11:943;1196;92;16.37833935;1
2;0;0;5;7;13:52:12:713;13:52:12:262;1396;258;40.89315346;1
2;0;0;5;8;13:52:13:95;13:52:12:713;1384;416;26.23451924;1
2;0;0;5;9;13:52:13:544;13:52:13:95;1392;631;69.14658343;1
2;0;0;5;10;13:52:13:832;13:52:13:544;1381;791;57.36941694;1
2;0;0;5;11;13:52:14:195;13:52:13:832;1153;855;28.30635971;1
2;0;0;5;12;13:52:14:541;13:52:14:195;985;870;23.90083681;1
2;0;0;5;13;13:52:14:921;13:52:14:541;832;876;13.12440475;1
2;0;0;5;14;13:52:15:314;13:52:14:921;661;869;6.264982043;1
2;0;0;5;15;13:52:15:702;13:52:15:314;483;875;14.60308187;1
2;0;0;5;16;13:52:16:100;13:52:15:702;315;865;5.220153254;1
2;0;0;5;17;13:52:16:513;13:52:16:100;111;756;22.05107707;1
2;0;0;5;18;13:52:16:893;13:52:16:513;110;522;40.07804885;1
2;0;0;5;19;13:52:17:159;13:52:16:893;112;375;15.00833102;1
2;0;0;5;20;13:52:17:421;13:52:17:159;118;239;21.70829335;1
2;0;0;5;21;13:52:18:141;13:52:17:421;739;471;12.08304597;1
2;0;1;5;1;13:52:20:364;13:52:19:664;360;97;40.89315346;1
2;0;1;5;2;13:52:21:199;13:52:20:364;1185;866;5.590169944;1
2;0;1;5;3;13:52:21:860;13:52:21:199;1185;92;6.103277808;1
2;0;1;5;4;13:52:22:521;13:52:21:860;291;882;34.39840113;0
2;0;1;5;5;13:52:23:178;13:52:22:521;783;473;33.13608305;1
2;0;2;5;1;13:52:25:522;13:52:24:671;123;242;26.19637379;1
2;0;2;5;2;13:52:26:279;13:52:25:522;1384;780;46.13296002;1
2;0;2;5;3;13:52:27:32;13:52:26:279;107;750;16.91892432;1
2;0;2;5;4;13:52:27:858;13:52:27:32;1392;227;10.0623059;1
2;0;2;5;5;13:52:28:352;13:52:27:858;740;503;28.7923601;1
2;0;3;5;1;13:52:30:852;13:52:30:49;524;102;34.73110997;0
2;0;3;5;2;13:52:31:354;13:52:30:852;706;96;42.66438796;1
2;0;3;5;3;13:52:31:661;13:52:31:354;864;88;28.00446393;1
2;0;3;5;4;13:52:32:5;13:52:31:661;1044;97;36.98986348;1
2;0;3;5;5;13:52:32:509;13:52:32:5;770;485;21.9317122;1
2;0;4;5;1;13:52:34:664;13:52:33:906;535;861;43.07261311;1
2;0;4;5;2;13:52:34:984;13:52:34:664;673;871;11.71537451;1
2;0;4;5;3;13:52:35:309;13:52:34:984;837;867;3.640054945;1
2;0;4;5;4;13:52:35:588;13:52:35:309;1011;876;12.85496013;1
2;0;4;5;5;13:52:36:65;13:52:35:588;733;490;22.02271555;1
2;0;5;5;1;13:52:38:189;13:52:37:488;120;253;35.79455266;1
2;0;5;5;2;13:52:38:620;13:52:38:189;112;445;55.00227268;1
2;0;5;5;3;13:52:38:981;13:52:38:620;100;591;31.57926535;1
2;0;5;5;4;13:52:39:340;13:52:38:981;114;747;13.08625233;1
2;0;5;5;5;13:52:39:870;13:52:39:340;757;495;20.24845673;1
2;0;6;5;1;13:52:41:894;13:52:41:275;1388;267;49.00255095;1
2;0;6;5;2;13:52:42:296;13:52:41:894;1386;443;53.02122217;1
2;0;6;5;3;13:52:42:705;13:52:42:296;1370;611;52.03124062;0
2;0;6;5;4;13:52:43:52;13:52:42:705;1395;755;22.29910312;1
2;0;6;5;5;13:52:43:626;13:52:43:52;772;478;22.09072203;1
2;0;7;5;1;13:52:45:790;13:52:45:5;356;91;36.08670115;1
2;0;7;5;2;13:52:46:654;13:52:45:790;347;859;27.37243139;1
2;0;7;5;3;13:52:47:252;13:52:46:654;517;95;25.83118271;1
2;0;7;5;4;13:52:47:955;13:52:47:252;540;860;48.127435;1
2;0;7;5;5;13:52:48:383;13:52:47:955;760;483;12.20655562;1
2;0;8;5;1;13:52:50:270;13:52:49:718;1175;874;11.62970335;1
2;0;8;5;2;13:52:50:848;13:52:50:270;1174;93;7.5;1
2;0;8;5;3;13:52:51:497;13:52:50:848;1009;863;1.118033989;1
2;0;8;5;4;13:52:52:209;13:52:51:497;1030;90;22.05107707;1
2;0;8;5;5;13:52:52:707;13:52:52:209;757;479;7.615773106;1
2;0;9;5;1;13:52:54:831;13:52:54:164;115;271;53.0589295;1
2;0;9;5;2;13:52:55:790;13:52:54:831;1391;280;62.09871174;1
2;0;9;5;3;13:52:56:546;13:52:55:790;127;414;28.04014979;0
2;0;9;5;4;13:52:57:229;13:52:56:546;1394;444;54.38979684;1
2;0;9;5;5;13:52:57:725;13:52:57:229;737;487;17.02938637;1
2;0;10;5;1;13:53:0:367;13:52:59:207;1376;762;30.26962174;1
2;0;10;5;2;13:53:1:95;13:53:0:367;106;776;42.5;1
2;0;10;5;3;13:53:1:831;13:53:1:95;1381;614;52.40467536;1
2;0;10;5;4;13:53:2:554;13:53:1:831;124;602;41.62030754;1
