Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
3;0;0;5;1;14:4:26:484;14:4:25:611;353;119;33.95585369;1
3;0;0;5;2;14:4:27:65;14:4:26:484;484;112;8.062257748;1
3;0;0;5;3;14:4:27:542;14:4:27:65;668;123;12.64911064;1
3;0;0;5;4;14:4:28:25;14:4:27:542;853;115;17.4642492;1
3;0;0;5;5;14:4:28:465;14:4:28:25;1021;117;14.31782106;1
3;0;0;5;6;14:4:28:917;14:4:28:465;1198;113;18.11077028;1
3;0;0;5;7;14:4:29:570;14:4:28:917;1397;214;28.15137652;1
3;0;0;5;8;14:4:30:95;14:4:29:570;1390;417;5.14781507;1
3;0;0;5;9;14:4:30:506;14:4:30:95;1396;585;8.514693183;1
3;0;0;5;10;14:4:30:916;14:4:30:506;1394;774;18.6681547;1
3;0;0;5;11;14:4:31:468;14:4:30:916;1186;889;6.708203932;1
3;0;0;5;12;14:4:31:876;14:4:31:468;983;899;28.17800561;0
3;0;0;5;13;14:4:32:352;14:4:31:876;813;885;23.02172887;1
3;0;0;5;14;14:4:32:745;14:4:32:352;638;891;26.47640459;1
3;0;0;5;15;14:4:33:156;14:4:32:745;470;891;22.56102835;1
3;0;0;5;16;14:4:33:534;14:4:33:156;319;896;10.04987562;1
3;0;0;5;17;14:4:34:52;14:4:33:534;97;748;17.67766953;0
3;0;0;5;18;14:4:34:495;14:4:34:52;109;566;18.82817038;1
3;0;0;5;19;14:4:34:884;14:4:34:495;109;400;12.98075499;1
3;0;0;5;20;14:4:35:244;14:4:34:884;118;236;7.106335202;1
3;0;0;5;21;14:4:35:947;14:4:35:244;747;502;4.609772229;1
3;0;1;5;1;14:4:39:766;14:4:38:956;324;107;5.656854249;1
3;0;1;5;2;14:4:40:700;14:4:39:766;1145;896;36.40054945;1
3;0;1;5;3;14:4:41:494;14:4:40:700;1155;123;27.73084925;1
3;0;1;5;4;14:4:42:247;14:4:41:494;316;895;9.848857802;1
3;0;1;5;5;14:4:42:872;14:4:42:247;752;517;18.60779407;1
3;0;2;5;1;14:4:45:313;14:4:44:487;115;229;11.7686023;1
3;0;2;5;2;14:4:46:344;14:4:45:313;1392;731;25.89401475;1
3;0;2;5;3;14:4:47:64;14:4:46:344;102;746;14.8492424;1
3;0;2;5;4;14:4:47:821;14:4:47:64;1392;229;12.34908904;1
3;0;2;5;5;14:4:48:483;14:4:47:821;772;500;22.05107707;1
3;0;3;5;1;14:4:50:762;14:4:49:956;489;108;4.242640687;1
3;0;3;5;2;14:4:51:341;14:4:50:762;663;109;2.236067977;1
3;0;3;5;3;14:4:51:831;14:4:51:341;830;127;17.08800749;0
3;0;3;5;4;14:4:52:404;14:4:51:831;1004;117;7.211102551;1
3;0;3;5;5;14:4:53:684;14:4:52:404;755;501;5.590169944;1
3;0;4;5;1;14:4:56:79;14:4:55:280;497;890;6.403124237;1
3;0;4;5;2;14:4:56:735;14:4:56:79;692;894;29.12043956;1
3;0;4;5;3;14:4:57:209;14:4:56:735;857;890;21.37755833;1
3;0;4;5;4;14:4:57:670;14:4:57:209;1014;889;6.708203932;1
3;0;4;5;5;14:4:58:295;14:4:57:670;742;500;8.139410298;1
3;0;5;5;1;14:5:0:700;14:4:59:872;113;234;6.519202405;1
3;0;5;5;2;14:5:1:590;14:5:0:700;110;435;22.63846285;1
3;0;5;5;3;14:5:1:998;14:5:1:590;108;585;4.527692569;1
3;0;5;5;4;14:5:2:352;14:5:1:998;111;742;14.57737974;1
3;0;5;5;5;14:5:2:861;14:5:2:352;760;500;10.11187421;1
3;0;6;5;1;14:5:5:156;14:5:4:603;1387;255;14.50861813;1
3;0;6;5;2;14:5:5:584;14:5:5:156;1390;413;2.549509757;1
3;0;6;5;3;14:5:6:21;14:5:5:584;1391;583;3.807886553;1
3;0;6;5;4;14:5:6:407;14:5:6:21;1393;751;7.778174593;1
3;0;6;5;5;14:5:6:946;14:5:6:407;751;506;7.566372975;1
3;0;7;5;1;14:5:9:444;14:5:8:566;318;111;2;1
3;0;7;5;2;14:5:10:198;14:5:9:444;313;897;13.03840481;1
3;0;7;5;3;14:5:10:977;14:5:10:198;514;107;22.36067977;1
3;0;7;5;4;14:5:11:686;14:5:10:977;481;897;15.55634919;1
3;0;7;5;5;14:5:12:264;14:5:11:686;751;493;5.590169944;1
3;0;8;5;1;14:5:15:235;14:5:13:900;1164;883;16.2788206;1
3;0;8;5;2;14:5:16:37;14:5:15:235;1204;106;24.51530134;1
3;0;8;5;3;14:5:16:836;14:5:16:37;1015;884;7.280109889;1
3;0;8;5;4;14:5:17:621;14:5:16:836;1024;115;16.4924225;1
3;0;8;5;5;14:5:18:169;14:5:17:621;755;509;11.62970335;1
3;0;9;5;1;14:5:20:517;14:5:19:674;124;230;15.5724115;1
3;0;9;5;2;14:5:21:405;14:5:20:517;1384;251;11.06797181;1
3;0;9;5;3;14:5:22:93;14:5:21:405;122;437;26.27736669;1
3;0;9;5;4;14:5:22:741;14:5:22:93;1389;418;5.700877125;1
3;0;9;5;5;14:5:23:639;14:5:22:741;765;518;24.6018292;1
3;0;10;5;1;14:5:26:215;14:5:25:310;1392;764;8.746427842;1
3;0;10;5;2;14:5:26:935;14:5:26:215;101;745;16.26345597;1
3;0;10;5;3;14:5:27:587;14:5:26:935;1395;553;32.38054972;1
3;0;10;5;4;14:5:28:284;14:5:27:587;120;570;16.32482772;1
