Part;Cond;Block;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
3;0;0;1;14:3:9:323;14:3:8:444;350;117;30.59411708155671;1
3;0;0;2;14:3:9:880;14:3:9:323;497;111;5;1
3;0;0;3;14:3:10:334;14:3:9:880;676;118;13.892443989449804;1
3;0;0;4;14:3:10:803;14:3:10:334;855;119;20.615528128088304;1
3;0;0;5;14:3:11:273;14:3:10:803;1034;112;26.019223662515376;1
3;0;0;6;14:3:11:703;14:3:11:273;1187;125;15.652475842498529;0
3;0;0;7;14:3:12:300;14:3:11:703;1393;232;10.124228365658293;1
3;0;0;8;14:3:12:790;14:3:12:300;1393;423;11.853269591129697;1
3;0;0;9;14:3:13:243;14:3:12:790;1398;593;13.509256086106296;1
3;0;0;10;14:3:13:710;14:3:13:243;1392;742;15.182226450688976;1
3;0;0;11;14:3:14:297;14:3:13:710;1154;894;27.202941017470888;1
3;0;0;12;14:3:14:712;14:3:14:297;990;891;18.681541692269406;1
3;0;0;13;14:3:15:183;14:3:14:712;832;892;7.211102550927978;1
3;0;0;14;14:3:15:686;14:3:15:183;669;891;7.0710678118654755;1
3;0;0;15;14:3:16:134;14:3:15:686;475;881;17.72004514666935;1
3;0;0;16;14:3:16:562;14:3:16:134;324;887;4.123105625617661;1
3;0;0;17;14:3:17:105;14:3:16:562;110;750;6.96419413859206;1
3;0;0;18;14:3:17:602;14:3:17:105;118;555;30.008332176247315;1
3;0;0;19;14:3:18:65;14:3:17:602;124;404;14.300349646075091;1
3;0;0;20;14:3:18:470;14:3:18:65;121;245;9.617692030835672;1
3;0;0;21;14:3:19:120;14:3:18:470;776;504;26.575364531836623;1
3;0;1;1;14:3:21:559;14:3:20:735;327;111;7;1
3;0;1;2;14:3:22:365;14:3:21:559;1160;905;27.586228448267445;0
3;0;1;3;14:3:23:170;14:3:22:365;1163;112;17.029386365926403;1
3;0;1;4;14:3:23:820;14:3:23:170;327;884;7.280109889280518;1
3;0;1;5;14:3:24:319;14:3:23:820;731;499;19.00657780874821;1
3;0;2;1;14:3:26:801;14:3:25:943;113;238;2.5495097567963922;1
3;0;2;2;14:3:27:691;14:3:26:801;1387;760;3.5355339059327378;1
3;0;2;3;14:3:28:431;14:3:27:691;105;734;23.717082451262844;1
3;0;2;4;14:3:29:215;14:3:28:431;1381;276;36.09016486523718;1
3;0;2;5;14:3:29:836;14:3:29:215;746;501;4.716990566028302;1
3;0;3;1;14:3:32:234;14:3:31:430;504;116;13;1
3;0;3;2;14:3:33:14;14:3:32:234;696;117;32.55764119219941;1
3;0;3;3;14:3:33:505;14:3:33:14;831;115;6.4031242374328485;1
3;0;3;4;14:3:34:63;14:3:33:505;1011;122;11.40175425099138;1
3;0;3;5;14:3:34:816;14:3:34:63;764;491;15.88238017426859;1
3;0;4;1;14:3:37:352;14:3:36:558;504;890;12.649110640673518;1
3;0;4;2;14:3:38:167;14:3:37:352;682;888;18.110770276274835;1
3;0;4;3;14:3:38:662;14:3:38:167;839;893;7.615773105863909;1
3;0;4;4;14:3:39:203;14:3:38:662;997;893;13.038404810405298;1
3;0;4;5;14:3:39:954;14:3:39:203;767;501;17.18284027743958;1
3;0;5;1;14:3:42:612;14:3:41:688;121;244;9.192388155425117;1
3;0;5;2;14:3:43:370;14:3:42:612;114;402;10.606601717798213;1
3;0;5;3;14:3:43:883;14:3:43:370;104;576;12.020815280171307;1
3;0;5;4;14:3:44:473;14:3:43:883;110;740;16.688319268278637;1
3;0;5;5;14:3:45:121;14:3:44:473;749;501;2.692582403567252;1
3;0;6;1;14:3:47:460;14:3:46:644;1382;248;9.300537618869138;1
3;0;6;2;14:3:47:969;14:3:47:460;1389;409;3.8078865529319543;1
3;0;6;3;14:3:48:527;14:3:47:969;1390;588;4.301162633521313;1
3;0;6;4;14:3:48:990;14:3:48:527;1396;768;14.300349646075091;1
3;0;6;5;14:3:49:629;14:3:48:990;748;498;2.0615528128088303;1
3;0;7;1;14:3:52:180;14:3:51:242;331;92;21.95449840010015;0
3;0;7;2;14:3:52:962;14:3:52:180;332;879;13.892443989449804;1
3;0;7;3;14:3:53:708;14:3:52:962;520;115;28.284271247461902;1
3;0;7;4;14:3:54:350;14:3:53:708;494;893;7.280109889280518;1
3;0;7;5;14:3:54:872;14:3:54:350;770;471;34.00367627183861;1
3;0;8;1;14:3:57:520;14:3:56:500;1189;898;15;1
3;0;8;2;14:3:58:335;14:3:57:520;1180;110;1;1
3;0;8;3;14:3:59:47;14:3:58:335;1004;886;4;1
3;0;8;4;14:3:59:646;14:3:59:47;1005;120;9.486832980505138;1
3;0;8;5;14:4:0:303;14:3:59:646;764;501;14.221462653327892;1
3;0;9;1;14:4:2:794;14:4:1:977;116;234;7.3824115301167;1
3;0;9;2;14:4:3:638;14:4:2:794;1398;227;17.10263137648707;1
3;0;9;3;14:4:4:418;14:4:3:638;124;405;13.729530217745982;1
3;0;9;4;14:4:5:96;14:4:4:418;1403;398;21.224985276791124;0
3;0;9;5;14:4:5:717;14:4:5:96;740;502;10.594810050208546;1
3;0;10;1;14:4:8:414;14:4:7:533;1386;750;6.670832032063167;1
3;0;10;2;14:4:9:93;14:4:8:414;122;748;12.747548783981962;1
3;0;10;3;14:4:9:835;14:4:9:93;1392;561;23.926972228010797;1
3;0;10;4;14:4:10:485;14:4:9:835;106;571;14.983324063771697;1
