Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;1;0;4;1;13:44:19:911;13:44:19:43;362;113;42.00297609;1
2;1;0;4;2;13:44:20:476;13:44:19:911;511;112;19.00657781;1
2;1;0;4;3;13:44:20:839;13:44:20:476;681;121;19.00657781;1
2;1;0;4;4;13:44:21:198;13:44:20:839;872;128;39.19502519;0
2;1;0;4;5;13:44:21:567;13:44:21:198;1032;112;24.00520777;1
2;1;0;4;6;13:44:22:46;13:44:21:567;1192;116;12.5;1
2;1;0;4;7;13:44:22:621;13:44:22:46;1390;302;60.05206075;1
2;1;0;4;8;13:44:23:59;13:44:22:621;1393;460;46.32763754;1
2;1;0;4;9;13:44:23:400;13:44:23:59;1392;596;10.9658561;1
2;1;0;4;10;13:44:23:715;13:44:23:400;1392;748;10.9658561;1
2;1;0;4;11;13:44:24:140;13:44:23:715;1147;896;34.07711842;1
2;1;0;4;12;13:44:24:594;13:44:24:140;962;890;46.06788469;1
2;1;0;4;13;13:44:24:901;13:44:24:594;841;891;6.103277808;1
2;1;0;4;14;13:44:25:288;13:44:24:901;674;889;10.11187421;1
2;1;0;4;15;13:44:25:668;13:44:25:288;480;894;13.64734406;1
2;1;0;4;16;13:44:26:31;13:44:25:668;321;904;16.53027525;1
2;1;0;4;17;13:44:26:417;13:44:26:31;109;773;15.4029218;1
2;1;0;4;18;13:44:26:700;13:44:26:417;105;618;32.86715686;1
2;1;0;4;19;13:44:27:40;13:44:26:700;112;429;15.00833102;1
2;1;0;4;20;13:44:27:356;13:44:27:40;117;278;36.28015987;1
2;1;0;4;21;13:44:28:49;13:44:27:356;776;539;46.87216658;1
2;1;1;4;1;13:44:30:302;13:44:29:532;361;108;41.24621195;1
2;1;1;4;2;13:44:31:315;13:44:30:302;1176;903;16.00781059;1
2;1;1;4;3;13:44:32:66;13:44:31:315;1157;119;23.90083681;1
2;1;1;4;4;13:44:32:666;13:44:32:66;316;888;4.031128874;1
2;1;1;4;5;13:44:33:137;13:44:32:666;755;503;5.830951895;1
2;1;2;4;1;13:44:35:702;13:44:34:879;123;263;23.47871376;1
2;1;2;4;2;13:44:36:527;13:44:35:702;1401;781;26.66927071;1
2;1;2;4;3;13:44:37:96;13:44:36:527;115;782;24.12985702;1
2;1;2;4;4;13:44:37:695;13:44:37:96;1408;252;22.80898946;1
2;1;2;4;5;13:44:38:326;13:44:37:695;744;498;6.32455532;1
2;1;3;4;1;13:44:40:511;13:44:39:781;510;123;20.83866598;1
2;1;3;4;2;13:44:41:359;13:44:40:511;684;122;22.14158983;1
2;1;3;4;3;13:44:41:709;13:44:41:359;847;126;17.41407477;0
2;1;3;4;4;13:44:42:27;13:44:41:709;1029;125;24.43869882;1
2;1;3;4;5;13:44:42:707;13:44:42:27;745;505;7.071067812;1
2;1;4;4;1;13:44:44:948;13:44:44:109;517;882;25.59785147;1
2;1;4;4;2;13:44:45:284;13:44:44:948;697;893;33.45519392;1
2;1;4;4;3;13:44:45:567;13:44:45:284;857;895;22.29910312;1
2;1;4;4;4;13:44:45:833;13:44:45:567;1017;892;10.0623059;1
2;1;4;4;5;13:44:46:362;13:44:45:833;750;499;1;1
2;1;5;4;1;13:44:48:706;13:44:47:786;101;274;34.00367627;1
2;1;5;4;2;13:44:49:65;13:44:48:706;108;458;44.22951503;1
2;1;5;4;3;13:44:49:394;13:44:49:65;114;608;22.05107707;1
2;1;5;4;4;13:44:49:652;13:44:49:394;109;740;18.33712082;1
2;1;5;4;5;13:44:51:52;13:44:49:652;734;502;16.1245155;1
2;1;6;4;1;13:44:53:478;13:44:52:700;1397;247;10.73545528;1
2;1;6;4;2;13:44:53:852;13:44:53:478;1390;431;17.18284028;1
2;1;6;4;3;13:44:54:169;13:44:53:852;1386;589;3.354101966;1
2;1;6;4;4;13:44:54:561;13:44:54:169;1391;765;7.826237921;1
2;1;6;4;5;13:44:55:98;13:44:54:561;758;510;12.80624847;1
2;1;7;4;1;13:44:57:338;13:44:56:552;353;133;38.84906691;0
2;1;7;4;2;13:44:57:996;13:44:57:338;331;883;11.88486432;1
2;1;7;4;3;13:44:58:525;13:44:57:996;495;114;3.354101966;1
2;1;7;4;4;13:44:59:86;13:44:58:525;502;891;10.59481005;1
2;1;7;4;5;13:44:59:593;13:44:59:86;755;507;8.602325267;1
2;1;8;4;1;13:45:1:896;13:45:1:8;1159;885;21.14828598;1
2;1;8;4;2;13:45:2:396;13:45:1:896;1176;110;4.716990566;1
2;1;8;4;3;13:45:2:996;13:45:2:396;981;886;27.04163457;1
2;1;8;4;4;13:45:3:524;13:45:2:996;990;120;19.5;1
2;1;8;4;5;13:45:4:65;13:45:3:524;764;502;14.14213562;1
2;1;9;4;1;13:45:6:261;13:45:5:507;116;272;30.20347662;1
2;1;9;4;2;13:45:7:333;13:45:6:261;1383;266;24.41823089;1
2;1;9;4;3;13:45:7:931;13:45:7:333;124;445;33.06433123;1
2;1;9;4;4;13:45:8:560;13:45:7:931;1391;438;24.25386567;1
2;1;9;4;5;13:45:9:71;13:45:8:560;753;518;18.24828759;1
2;1;10;4;1;13:45:11:551;13:45:10:529;1400;792;36.22499137;1
2;1;10;4;2;13:45:12:143;13:45:11:551;128;763;16.28649747;0
2;1;10;4;3;13:45:12:770;13:45:12:143;1387;601;15.00833102;1
2;1;10;4;4;13:45:13:352;13:45:12:770;101;617;33.06433123;1
